oid;time;lat;lon;grid_id
0;1;14988;13223;6744
1;1;5051;19570;1876
2;1;11832;30062;5228
3;1;6741;21412;2685
4;1;7040;19765;2777
5;1;15323;8759;6922
6;1;8935;21993;3788
7;1;16156;29041;7423
8;1;5447;14842;2052
9;1;12433;22186;5489
10;1;14385;23820;6497
11;1;15713;23655;7196
12;1;16563;24476;7600
13;1;8007;22986;3293
14;1;9312;11367;3935
15;1;11546;18428;5070
16;1;20656;13187;9644
17;1;11950;15844;5257
18;1;15595;21131;7084
19;1;15410;15251;6954
20;1;16113;28337;7420
21;1;11893;14956;5253
22;1;9680;8253;4119
23;1;15928;9407;7225
24;1;8159;19974;3378
25;1;13221;20500;5881
26;1;16953;24029;7798
27;1;8106;18295;3369
28;1;11471;25136;5104
29;1;11752;17068;5163
30;1;9503;15697;4057
31;1;5546;13781;2047
32;1;3733;18609;1171
33;1;14927;14377;6750
34;1;11789;16487;5160
35;1;10928;28459;4820
36;1;13257;14721;5952
37;1;10203;22879;4392
38;1;8261;13492;3445
39;1;16552;21975;7588
40;1;10200;7557;4316
41;1;12614;18034;5568
42;1;8721;17777;3667
43;1;8777;10324;3630
44;1;16297;22435;7490
45;1;11870;19472;5275
46;1;8333;13604;3446
47;1;12693;28378;5720
48;1;15706;19044;7173
49;1;12226;18870;5372
50;1;18529;12536;8541
51;1;8334;18419;3470
52;1;14366;18886;6472
53;1;11873;25148;5304
54;1;15415;15194;6954
55;1;11305;27086;5013
56;1;10382;21242;4484
57;1;12096;23321;5395
58;1;8055;16491;3360
59;1;9954;15736;4257
60;1;10558;16152;4559
61;1;13531;20638;6081
62;1;13693;13811;6147
63;1;12603;20552;5581
64;1;10973;27235;4814
65;1;14597;9331;6525
66;1;7912;8510;3221
67;1;11230;13610;4846
68;1;6882;19287;2774
69;1;4626;10247;1529
70;1;9622;19672;4076
71;1;3922;14329;1250
72;1;15715;15795;7157
73;1;13451;18915;6073
74;1;5377;19774;1977
75;1;14279;21481;6485
76;1;1871;21166;284
77;1;8573;20290;3579
78;1;6788;20812;2682
79;1;13573;18102;6069
80;1;7046;19686;2876
81;1;11921;17096;5263
82;1;11612;16846;5062
83;1;11766;19801;5177
84;1;7068;12751;2842
85;1;8911;10256;3729
86;1;2544;19906;578
87;1;11390;28047;5018
88;1;16462;13441;7545
89;1;4050;19908;1378
90;1;16238;25764;7407
91;1;8199;18131;3369
92;1;2671;16993;663
93;1;7139;12820;2842
94;1;10838;19315;4675
95;1;3663;18880;1172
96;1;20354;25408;9505
97;1;9749;14894;4152
98;1;6380;22389;2490
99;1;12583;14786;5552
100;1;12272;15993;5458
101;1;12802;14551;5651
102;1;5185;14990;1853
103;1;11896;28285;5319
104;1;7730;20873;3182
105;1;9821;13750;4147
106;1;14194;27092;6413
107;1;14757;17657;6666
108;1;19833;13339;9145
109;1;15934;23106;7294
110;1;10961;17509;4766
111;1;16876;22366;7790
112;1;11576;17600;5066
113;1;13071;10948;5833
114;1;13169;28152;5919
115;1;11005;13148;4744
116;1;9677;21650;4186
117;1;11459;5713;5007
118;1;8379;19246;3474
119;1;15277;22674;6991
120;1;10649;25572;4706
121;1;16865;25453;7805
122;1;17920;23984;8298
123;1;10158;14610;4351
124;1;15362;16303;6960
125;1;11858;26621;5311
126;1;17207;22075;7888
127;1;14211;28888;6422
128;1;18645;26625;8711
129;1;16976;12461;7740
130;1;13786;8476;6120
131;1;15188;5549;6806
132;1;12954;4573;5701
133;1;18560;18259;8569
134;1;21443;16139;9959
135;1;7511;16345;3060
136;1;13840;11536;6136
137;1;5396;17385;1965
138;1;8673;18863;3672
139;1;11334;22363;4990
140;1;16481;12100;7539
141;1;8912;17455;3765
142;1;15738;11300;7135
143;1;13525;5197;6004
144;1;13006;17676;5766
145;1;16197;5431;7305
146;1;9555;11144;4034
147;1;13275;14133;5949
148;1;13841;11669;6136
149;1;7214;19912;2878
150;1;16559;28143;7619
151;1;13754;26894;6212
152;1;13330;20800;5982
153;1;12290;23735;5497
154;1;11185;29029;4923
155;1;7603;12447;3040
156;1;6461;17251;2564
157;1;11541;17430;5065
158;1;12074;18984;5373
159;1;8598;15598;3556
160;1;18311;24249;8499
161;1;8342;23881;3497
162;1;8647;8534;3621
163;1;10388;21796;4487
164;1;15476;13082;7043
165;1;14130;21406;6385
166;1;15872;11840;7237
167;1;12521;15446;5555
168;1;14805;8216;6619
169;1;11170;10769;4832
170;1;14294;16085;6458
171;1;12774;12284;5639
172;1;9818;8346;4120
173;1;13114;16278;5859
174;1;14665;16461;6660
175;1;13083;26429;5910
176;1;8212;11561;3336
177;1;11209;15907;4858
178;1;11769;18711;5172
179;1;10711;15170;4654
180;1;19011;16654;8761
181;1;2116;21043;383
182;1;17956;24028;8298
183;1;16055;10760;7332
184;1;15371;27718;7017
185;1;5327;13720;1947
186;1;17495;11310;8035
187;1;13917;14952;6253
188;1;4674;10658;1631
189;1;10395;12477;4440
190;1;4620;17714;1567
191;1;13804;27474;6215
192;1;5551;14759;2052
193;1;16359;29336;7525
194;1;7778;20903;3183
195;1;14643;21296;6584
196;1;9487;22119;4089
197;1;13178;13031;5843
198;1;12603;20767;5582
199;1;8666;19130;3674
200;1;9041;12513;3741
201;1;3919;20259;1279
202;1;11147;13070;4843
203;1;14920;15538;6756
204;1;14036;10423;6230
205;1;12390;20870;5482
206;1;9557;23295;4094
207;1;13164;18916;5873
208;1;17755;11579;8136
209;1;6532;20454;2580
210;1;8732;23780;3697
211;1;13015;14270;5749
212;1;9019;22196;3789
213;1;14023;9282;6224
214;1;11209;17922;4868
215;1;16165;14491;7350
216;1;11004;15306;4755
217;1;6904;13124;2744
218;1;13576;6820;6012
219;1;16349;14801;7452
220;1;11861;28142;5319
221;1;12366;20952;5483
222;1;9778;16658;4161
223;1;14757;17657;6666
224;1;8161;7454;3315
225;1;14942;19392;6775
226;1;10453;18715;4572
227;1;12692;8634;5621
228;1;7860;23149;3294
229;1;16797;13237;7644
230;1;4350;19759;1477
231;1;4558;20174;1579
232;1;10943;17543;4766
233;1;10048;15898;4358
234;1;5914;19890;2277
235;1;6004;17262;2264
236;1;20757;11126;9634
237;1;14058;9289;6324
238;1;8721;14035;3648
239;1;13769;27105;6214
240;1;16565;20549;7581
241;1;11037;21494;4785
242;1;9261;21681;3986
243;1;9333;22347;3990
244;1;16106;29452;7425
245;1;18819;20992;8683
246;1;6832;21868;2687
247;1;19977;18164;9269
248;1;21143;11653;9836
249;1;12426;13472;5445
250;1;6264;17922;2468
251;1;15811;18493;7170
252;1;14976;8181;6719
253;1;8798;24011;3698
254;1;10395;12477;4440
255;1;10047;14615;4351
256;1;14682;25604;6706
257;1;11746;17653;5166
258;1;10084;4685;4301
259;1;12895;21185;5784
260;1;12978;4594;5701
261;1;8884;10667;3731
262;1;10358;21920;4488
263;1;14494;11760;6537
264;1;8680;14033;3648
265;1;11664;18560;5171
266;1;9808;5042;4103
267;1;12164;28260;5419
268;1;7720;17377;3165
269;1;7232;18706;2872
270;1;12465;18091;5568
271;1;15777;11863;7137
272;1;10461;19544;4576
273;1;13343;26992;6013
274;1;19507;10917;9033
275;1;11154;15279;4854
276;1;8290;20777;3482
277;1;15642;8318;7020
278;1;10046;23056;4393
279;1;10365;19460;4475
280;1;14682;25646;6706
281;1;7134;17289;2864
282;1;10565;16226;4559
283;1;11034;28827;4822
284;1;8423;22481;3490
285;1;8047;8682;3321
286;1;14006;11304;6235
287;1;12943;12216;5739
288;1;8710;19129;3674
289;1;15970;5999;7208
290;1;10945;25957;4808
291;1;6260;20191;2479
292;1;12849;27331;5815
293;1;14768;8168;6619
294;1;12571;30161;5629
295;1;7033;19771;2777
296;1;11378;16629;4961
297;1;20555;19811;9577
298;1;12127;25856;5407
299;1;14857;11643;6736
300;1;11753;16458;5160
301;1;13474;8739;6022
302;1;11689;16690;5161
303;1;10199;19730;4377
304;1;10263;17757;4467
305;1;11950;15844;5257
306;1;7345;20088;2978
307;1;7275;20372;2980
308;1;14239;9293;6324
309;1;15658;7297;7115
310;1;13462;14403;6050
311;1;11487;4877;5002
312;1;10740;27845;4717
313;1;12268;13337;5445
314;1;11518;19848;5077
315;1;17410;28450;8020
316;1;9808;10010;4128
317;1;14209;28447;6420
318;1;9888;16053;4258
319;1;10608;16326;4560
320;1;9283;21574;3986
321;1;5489;17402;2065
322;1;12836;25162;5704
323;1;12603;20503;5581
324;1;20741;11317;9635
325;1;16162;22941;7393
326;1;5226;18935;1873
327;1;9311;8862;3922
328;1;12097;16782;5362
329;1;5053;18072;1868
330;1;10815;15275;4654
331;1;20807;16447;9660
332;1;9730;5234;4104
333;1;15463;15214;7054
334;1;4751;10564;1631
335;1;12581;12728;5542
336;1;11144;27224;4914
337;1;14786;11674;6636
338;1;12264;16278;5459
339;1;10886;5373;4705
340;1;13680;26357;6210
341;1;8398;17771;3467
342;1;14273;18926;6473
343;1;18465;24120;8599
344;1;10967;13693;4746
345;1;9892;7809;4217
346;1;3059;17733;867
347;1;12403;12220;5439
348;1;1967;12609;241
349;1;17571;8120;8019
350;1;12112;7783;5317
351;1;4243;19785;1377
352;1;11738;24161;5199
353;1;15967;22901;7293
354;1;14777;6246;6609
355;1;5572;17909;2068
356;1;12511;27798;5617
357;1;13919;18130;6269
358;1;10611;14275;4549
359;1;13151;28137;5919
360;1;9781;13031;4143
361;1;14786;27405;6715
362;1;16433;29303;7525
363;1;15252;11999;6938
364;1;3366;19678;976
365;1;18819;18149;8669
366;1;9218;20255;3879
367;1;14009;27020;6313
368;1;10747;5236;4604
369;1;15700;10076;7128
370;1;4533;10390;1530
371;1;10801;14008;4648
372;1;7892;22317;3290
373;1;18048;18409;8370
374;1;16257;16573;7461
375;1;9069;7959;3818
376;1;10413;8942;4423
377;1;15229;22489;6890
378;1;4210;21570;1386
379;1;14678;22592;6691
380;1;11275;6331;4910
381;1;12038;15214;5254
382;1;12402;29560;5526
383;1;10085;12180;4339
384;1;8109;22602;3391
385;1;11963;25560;5306
386;1;14109;9317;6325
387;1;12588;29606;5626
388;1;12069;24772;5402
389;1;11244;4995;4803
390;1;3497;17874;1067
391;1;2394;21310;485
392;1;8781;17552;3666
393;1;10326;16834;4462
394;1;15986;14930;7253
395;1;11438;14238;4949
396;1;15242;14615;6851
397;1;11088;13704;4847
398;1;6917;19813;2777
399;1;4265;18405;1470
400;1;18898;13892;8747
401;1;11705;18807;5172
402;1;11927;7052;5213
403;1;10265;22277;4489
404;1;15831;14173;7149
405;1;13732;18773;6172
406;1;10239;18687;4371
407;1;17948;24018;8298
408;1;13095;13218;5844
409;1;10361;20006;4478
410;1;14769;28473;6720
411;1;9571;15699;4057
412;1;14164;15303;6355
413;1;16522;13307;7545
414;1;14256;22734;6492
415;1;14880;5662;6706
416;1;15515;21861;7087
417;1;10940;26021;4808
418;1;8268;13502;3446
419;1;5486;19279;2074
420;1;19510;18507;9071
421;1;15076;20631;6881
422;1;12996;8220;5719
423;1;12712;16573;5661
424;1;9919;12939;4243
425;1;11983;16418;5260
426;1;19195;18100;8869
427;1;16610;28659;7621
428;1;11493;5689;5006
429;1;15595;21131;7084
430;1;18386;24183;8499
431;1;5661;15206;2154
432;1;10229;6778;4312
433;1;11751;23067;5193
434;1;12484;27088;5613
435;1;15002;20213;6779
436;1;12572;27664;5616
437;1;17458;11275;8034
438;1;8996;10147;3729
439;1;9059;10239;3829
440;1;15418;16598;6961
441;1;14192;28411;6420
442;1;13272;6031;5908
443;1;9377;21341;3985
444;1;2055;22584;391
445;1;8831;15212;3654
446;1;12828;14169;5649
447;1;11674;4477;5100
448;1;6632;19833;2577
449;1;6099;21314;2385
450;1;8402;24007;3498
451;1;16197;5431;7305
452;1;11233;23569;4896
453;1;15518;29528;7126
454;1;11083;16553;4861
455;1;16655;12591;7641
456;1;14572;16129;6559
457;1;9779;17384;4165
458;1;4406;10559;1431
459;1;14642;22194;6589
460;1;6776;19317;2675
461;1;9038;19719;3777
462;1;3072;16927;863
463;1;11485;16447;5060
464;1;8096;12885;3342
465;1;8367;21585;3486
466;1;19401;19639;8976
467;1;10999;17438;4765
468;1;15393;22893;6992
469;1;12599;24195;5599
470;1;14338;13821;6447
471;1;17839;10842;8132
472;1;13252;8238;5919
473;1;5344;14862;1952
474;1;2936;17586;766
475;1;8951;17481;3765
476;1;7985;18440;3270
477;1;8658;19102;3674
478;1;12596;18046;5568
479;1;8936;17875;3767
480;1;9047;10087;3828
481;1;11078;10834;4832
482;1;5080;22836;1892
483;1;10967;18498;4771
484;1;12043;22684;5291
485;1;12780;16605;5661
486;1;7596;21047;3083
487;1;6283;21023;2483
488;1;12736;11459;5635
489;1;11259;7974;4918
490;1;14327;5573;6406
491;1;14641;28646;6621
492;1;18989;9311;8725
493;1;16982;12582;7741
494;1;8348;13639;3446
495;1;17957;11623;8236
496;1;7131;20153;2879
497;1;10995;21216;4784
498;1;14232;23975;6398
499;1;6074;21335;2385
500;1;11876;4499;5201
501;1;11067;24094;4898
502;1;8894;20466;3780
503;1;18672;18235;8669
504;1;8574;23160;3594
505;1;4500;19941;1578
506;1;13967;26934;6313
507;1;14266;19732;6477
508;1;9893;18774;4272
509;1;2593;16954;563
510;1;14465;29167;6624
511;1;11547;17467;5065
512;1;9157;8856;3822
513;1;8298;18399;3470
514;1;13456;12338;6040
515;1;15942;13212;7244
516;1;4545;17834;1567
517;1;8619;22641;3591
518;1;5119;22442;1890
519;1;14701;22841;6692
520;1;12528;12157;5539
521;1;10902;25096;4803
522;1;10122;11438;4335
523;1;15020;29065;6823
524;1;5812;19280;2174
525;1;14331;19234;6474
526;1;12560;16762;5562
527;1;13494;7276;6014
528;1;11691;16869;5162
529;1;9067;17560;3866
530;1;15354;13349;6945
531;1;18631;12262;8539
532;1;18823;24532;8701
533;1;9797;15579;4156
534;1;12917;26461;5810
535;1;16724;9907;7628
536;1;14356;28806;6522
537;1;13402;28341;6020
538;1;10590;4766;4502
539;1;15158;16105;6859
540;1;13811;27955;6218
541;1;16679;20677;7681
542;1;12646;19781;5677
543;1;9562;17723;4067
544;1;8494;7150;3514
545;1;14496;23705;6597
546;1;5618;17800;2067
547;1;8162;12288;3339
548;1;21269;10630;9931
549;1;11469;8274;5019
550;1;6682;20784;2682
551;1;12322;8155;5419
552;1;12923;7664;5716
553;1;8976;11995;3738
554;1;12014;17970;5268
555;1;8878;23738;3797
556;1;5341;22295;1989
557;1;4407;22238;1489
558;1;16332;12952;7443
559;1;11289;29182;5024
560;1;7652;19166;3174
561;1;6082;19292;2374
562;1;12091;26601;5411
563;1;12900;19891;5777
564;1;5020;20043;1778
565;1;6174;17194;2364
566;1;10627;15560;4556
567;1;7036;24042;2798
568;1;13540;26076;6108
569;1;6455;20965;2583
570;1;9815;21344;4185
571;1;13921;24377;6300
572;1;13200;14192;5849
573;1;12528;12157;5539
574;1;12150;15611;5356
575;1;10558;13780;4547
576;1;9658;7604;4116
577;1;13855;13618;6246
578;1;14246;10548;6431
579;1;12824;17935;5668
580;1;10623;5786;4507
581;1;7073;13478;2845
582;1;2544;19906;578
583;1;15332;22563;6991
584;1;14193;13218;6344
585;1;5925;19602;2276
586;1;15798;15007;7153
587;1;13830;13940;6148
588;1;13795;11636;6136
589;1;9348;8513;3921
590;1;10819;14148;4649
591;1;12654;13710;5647
592;1;4950;20043;1778
593;1;14669;26374;6710
594;1;17029;29025;7823
595;1;15121;8092;6818
596;1;3390;19668;976
597;1;8191;9702;3327
598;1;13684;8310;6120
599;1;10310;4968;4403
600;1;9475;7916;4018
601;1;5386;13393;1945
602;1;10521;26519;4611
603;1;12756;15297;5655
604;1;12128;18113;5369
605;1;12722;14122;5649
606;1;6129;20171;2379
607;1;11373;18313;4970
608;1;4941;10746;1732
609;1;18106;25556;8406
610;1;14136;20880;6382
611;1;16569;11714;7537
612;1;14599;27721;6617
613;1;7582;12459;3040
614;1;11793;13484;5145
615;1;13519;25173;6104
616;1;13751;13945;6148
617;1;14518;17888;6567
618;1;4896;19799;1777
619;1;13213;4802;5802
620;1;8931;13576;3746
621;1;7868;19621;3276
622;1;13358;9404;5925
623;1;8393;8715;3422
624;1;5269;10737;1932
625;1;8816;21807;3687
626;1;6651;21406;2685
627;1;11285;16907;4963
628;1;13965;25564;6306
629;1;10448;18917;4573
630;1;11508;28113;5119
631;1;14140;11714;6337
632;1;10207;11973;4338
633;1;5923;21735;2287
634;1;5463;19294;2074
635;1;11341;24615;5001
636;1;14680;26151;6709
637;1;12321;22106;5489
638;1;8523;11575;3536
639;1;15549;28213;7119
640;1;8890;8707;3722
641;1;15192;21047;6883
642;1;11073;23990;4898
643;1;7799;15920;3158
644;1;16840;22639;7691
645;1;14470;28913;6623
646;1;7285;21195;2984
647;1;6148;16058;2358
648;1;9689;15073;4153
649;1;6560;19864;2577
650;1;11545;7982;5018
651;1;11315;13553;4946
652;1;9005;21193;3784
653;1;12303;26681;5511
654;1;13203;29130;5924
655;1;10630;13365;4545
656;1;2535;21614;586
657;1;13358;9404;5925
658;1;7655;20419;3180
659;1;11105;5403;4805
660;1;9629;12625;4041
661;1;4841;22930;1693
662;1;13030;24980;5803
663;1;4272;18176;1469
664;1;13676;21917;6188
665;1;8602;11878;3537
666;1;10148;16157;4359
667;1;12733;16081;5658
668;1;17519;28684;8121
669;1;20758;22711;9692
670;1;8895;17769;3767
671;1;12671;26319;5710
672;1;10715;13984;4648
673;1;3600;17790;1067
674;1;16225;29167;7424
675;1;2539;21119;584
676;1;16610;28659;7621
677;1;7030;19275;2774
678;1;10876;5703;4707
679;1;8326;17007;3463
680;1;16098;12100;7339
681;1;14682;25955;6708
682;1;14284;19335;6475
683;1;14883;13983;6748
684;1;16487;12101;7539
685;1;12156;26311;5410
686;1;5498;14759;2052
687;1;6029;14932;2253
688;1;8068;7826;3317
689;1;12624;15533;5556
690;1;14864;19395;6775
691;1;16893;13974;7748
692;1;11048;14275;4849
693;1;14482;15629;6556
694;1;11056;17732;4867
695;1;15136;5675;6806
696;1;13653;11587;6136
697;1;1445;23695;96
698;1;10801;14008;4648
699;1;7228;18329;2870
700;1;15857;22173;7289
701;1;11812;18303;5170
702;1;16170;11203;7334
703;1;15651;7949;7118
704;1;7230;20637;2881
705;1;9171;18426;3870
706;1;16025;17967;7268
707;1;7889;12539;3241
708;1;11385;17891;4967
709;1;10572;13720;4547
710;1;7519;11546;3036
711;1;12165;23159;5394
712;1;9668;13060;4143
713;1;9282;24063;3998
714;1;7681;20575;3181
715;1;6165;13933;2348
716;1;12624;30154;5629
717;1;11411;10788;4932
718;1;16559;29028;7623
719;1;5384;19900;1978
720;1;9134;21407;3885
721;1;4791;19228;1674
722;1;15583;13881;7047
723;1;16523;9519;7526
724;1;9246;6681;3911
725;1;13590;26176;6109
726;1;7744;11851;3137
727;1;7553;23031;3093
728;1;6561;19857;2577
729;1;7948;22494;3290
730;1;21194;23278;9894
731;1;11401;17487;4965
732;1;13172;26118;5909
733;1;9622;20025;4078
734;1;4843;10653;1631
735;1;10879;11591;4736
736;1;11881;12124;5239
737;1;13901;8271;6219
738;1;9437;15561;3956
739;1;13615;6832;6012
740;1;9852;16867;4262
741;1;10160;21552;4386
742;1;14611;22935;6593
743;1;11377;23348;4995
744;1;10809;27755;4717
745;1;18567;24234;8599
746;1;16800;13876;7647
747;1;20965;20240;9779
748;1;7532;8186;3019
749;1;11860;27952;5318
750;1;19285;18368;8970
751;1;12957;6745;5712
752;1;8212;18095;3368
753;1;14346;13817;6447
754;1;15000;13236;6744
755;1;4506;18042;1568
756;1;7932;22606;3291
757;1;18059;7983;8318
758;1;7002;19235;2774
759;1;13163;26134;5909
760;1;15810;10529;7131
761;1;15077;13761;6847
762;1;10914;6778;4712
