"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_nottaken.bpred_jr_non_ras_rate.PP",0,0,0.9934,0.9934," non-RAS JR addr-pred rate (ie, non-RAS JR hits/JRs seen)",0,0.9934,0.9934,0.573539757412974,0.577350269189626
"bpred_nottaken.jr_non_ras_hits.PP",0,0,6286,6286," total number of address-predicted hits for non-RAS JR's",0,6286,6286,3629.22379212599,0.577350269189626
"bpred_nottaken.jr_non_ras_seen.PP",329260,329260,6328,6328," total number of non-RAS JR's seen",6328,329260,322932,186444.877129944,0.577350269189626
"bpred_nottaken.used_ras.PP",0,0,322932,322932," total number of RAS predictions used",0,322932,322932,186444.877129944,0.577350269189626
"max_lsq_access",6,6,5,5," max number accesses of load/store queue",5,6,1,0.577350269189626,0.577350269189626
"max_dcache2_access",5,5,4,4," max number accesses of dcache2",4,5,1,0.577350269189626,0.577350269189626
"bpred_nottaken.jr_hits",0,0,329020,328977," total number of address-predicted hits for JR's",0,329020,329020,189947.373349173,0.577312544371688
"bpred_nottaken.ras_hits.PP",0,0,322734,322691," total number of RAS hits",0,322734,322734,186318.149572848,0.577311809641524
"bpred_nottaken.bpred_jr_rate",0,0,0.9993,0.9991," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0,0.9993,0.9993,0.576888394752399,0.577292499502051
"ul2.hits",86550,86542,66435,66441," total number of hits",66435,86550,20115,11609.3599306766,0.577149387555388
"il1.replacements",42772,42789,22334,22413," total number of replacements",22334,42789,20455,11782.0331295862,0.575997708608467
"il1.misses",43266,43283,22809,22889," total number of misses",22809,43283,20474,11792.7151913091,0.575984917031803
"ul2.accesses",96376,96395,75825,75927," total number of accesses",75825,96395,20570,11841.2411054191,0.575655863170592
"total_dcache2_access",96376,96395,75825,75927," total number accesses of dcache2",75825,96395,20570,11841.2411054191,0.575655863170592
"dcache2_power_cc2",202827.8913,202867.8777,159577.331,159791.9949," total power usage of dcache2_cc2",159577.331,202867.8777,43290.5467,24920.4570204578,0.575655863002946
"dcache2_power_cc1",360239.6427,360374.3338,272972.4669,274664.5232," total power usage of dcache2_cc1",272972.4669,360374.3338,87401.8669,49938.9629251344,0.571371810424502
"ul2.wb_rate",0.0265,0.0265,0.0322,0.0324," writeback rate (i.e., wrbks/ref)",0.0265,0.0324,0.0059,0.00334962684488884,0.567733363540482
"bpred_nottaken.retstack_pushes",0,0,341568,328436," total number of address pushed onto ret-addr stack",0,341568,341568,193487.781454024,0.566469287093708
"avg_total_power_insn_cc1",11.1671,11.0881,13.8168,13.8847," average total power per insn_cc1",11.0881,13.8847,2.7966,1.57278644741321,0.562392350501756
"ul2.miss_rate",0.102,0.1022,0.1238,0.1249," miss rate (i.e., misses/ref)",0.102,0.1249,0.0229,0.0128541497838895,0.561316584449323
"mem.ptab_misses",460089,460251,456695,456747," total first level page table misses",456695,460251,3556,1992.49215807742,0.560318379661816
"avg_total_power_insn_cc2",6.6422,6.5473,8.7398,8.6545," average total power per insn_cc2",6.5473,8.7398,2.1925,1.21493851833471,0.554133873812865
"ul2.repl_rate",0.0597,0.0599,0.0701,0.0713," replacement rate (i.e., repls/ref)",0.0597,0.0713,0.0116,0.00631268564083465,0.544197038002987
"avg_clock_power_cc3",6.4605,6.5217,9.3281,9.0115," avg power usage of clock_cc3",6.4605,9.3281,2.8676,1.55214090747801,0.541268275728139
"avg_clock_power_cc2",4.6666,4.7486,8.0192,7.6586," avg power usage of clock_cc2",4.6666,8.0192,3.3526,1.81414974299257,0.541117265105461
"sim_total_branches",6163096,6311347,4040195,4189567," total number of branches executed",4040195,6311347,2271152,1228342.29412825,0.540845480235691
"resultbus_power_cc1",26664992.8154,26932014.2101,19357073.1152,20112842.9493," total power usage of resultbus_cc1",19357073.1152,26932014.2101,7574941.0949,4091247.52729423,0.540102883446679
"bpred_nottaken.bpred_addr_rate",0.3139,0.3139,0.9608,0.8704," branch address-prediction rate (i.e., addr-hits/updates)",0.3139,0.9608,0.6469,0.349346518517073,0.540031718220859
"bpred_nottaken.dir_hits",1195793,1195793,3660841,3316240," total number of direction-predicted hits (includes addr-hits)",1195793,3660841,2465048,1331173.1697212,0.540019167870645
"bpred_nottaken.misses",2613662,2613662,148614,493215," total number of misses",148614,2613662,2465048,1331173.1697212,0.540019167870645
"bpred_nottaken.bpred_dir_rate",0.3139,0.3139,0.961,0.8705," branch direction-prediction rate (i.e., all-hits/updates)",0.3139,0.961,0.6471,0.349436950679232,0.540004559850459
"bpred_nottaken.addr_hits",1195793,1195793,3660276,3315589," total number of address-predicted hits",1195793,3660276,2464483,1330827.81899648,0.540002839945123
"mem.ptab_miss_rate",0.0017,0.0017,0.0024,0.0023," first level page table miss rate",0.0017,0.0024,7e-04,0.000377491721763537,0.539273888233625
"avg_clock_power_cc1",7.8059,8.0171,12.549,12.0843," avg power usage of clock_cc1",7.8059,12.549,4.7431,2.551837396041,0.538010456461176
"lsq_latency",1.4012,1.4364,2.0117,1.9543," avg LSQ occupant latency (cycle's)",1.4012,2.0117,0.6105,0.326898832464521,0.535460823037708
"bpred_power_cc3",18233448.4617,18149743.4845,12369363.4496,13208009.8834," total power usage of bpred unit_cc3",12369363.4496,18233448.4617,5864085.0121,3138290.20101773,0.535171334409742
"ul2.writebacks",2551,2551,2439,2457," total number of writebacks",2439,2551,112,59.9193902950734,0.534994556206012
"max_cycle_power_cc1",51.7679,51.7077,56.5047,55.7885," maximum cycle power usage of cc1",51.7077,56.5047,4.797,2.56227767685966,0.5341416879007
"dcache2_power_cc3",10587887.4115,10509548.9898,5091397.1925,5911401.3815," total power usage of dcache2_cc3",5091397.1925,10587887.4115,5496490.219,2933410.98979982,0.533688021432248
"dcache2_power",104210759.0845,103427105.4848,49591078.4672,57790695.2316," total power usage of dcache2",49591078.4672,104210759.0845,54619680.6173,29136145.0960954,0.533436753324165
"regfile_power",88448939.8864,87783813.4564,42090455.5104,49049884.8125," total power usage of arch. regfile",42090455.5104,88448939.8864,46358484.376,24729319.3940359,0.533436753312806
"clock_power",646133467.03,641274613.4712,307477421.2939,358317150.855," total power usage of clock",307477421.2939,646133467.03,338656045.7361,180651581.524021,0.533436753303363
"total_power",1777365868.7402,1764000270.2834,845800290.3778,985648796.5101," total power per cycle",845800290.3778,1777365868.7402,931565578.3624,496931317.601968,0.533436753293873
"dcache_power",150652963.2548,149520069.3187,71691665.9329,83545495.3657," total power usage of dcache",71691665.9329,150652963.2548,78961297.3219,42120858.0792611,0.533436753293805
"rename_power",10348185.5451,10270368.3129,4924421.2986,5738647.7421," total power usage of rename unit",4924421.2986,10348185.5451,5423764.2465,2893235.19025177,0.533436753287867
"dispatch_stage_power",10348185.5451,10270368.3129,4924421.2986,5738647.7421," total power usage of dispatch stage",4924421.2986,10348185.5451,5423764.2465,2893235.19025177,0.533436753287867
"issue_stage_power",859124306.4969,852663784.9453,408833994.5634,476432485.6706," total power usage of issue stage",408833994.5634,859124306.4969,450290311.9335,240201402.034414,0.533436753287038
"falu_power",353576808.7908,350917949.5591,168257629.2593,196078118.7956," total power usage of falu",168257629.2593,353576808.7908,185319179.5315,98856061.4503821,0.533436753283158
"sim_cycle",24758469,24572288,11781885,13729956," total simulation time in cycles",11781885,24758469,12976584,6922186.8376659,0.533436753283137
"alu_power",468954503.9948,465428017.0174,223162750.3422,260061504.8472," total power usage of alu",223162750.3422,468954503.9948,245791753.6526,131114355.052209,0.533436753283126
"bpred_power",111985684.6201,111143564.425,53290955.0315,62102326.3881," total power usage of bpred unit",53290955.0315,111985684.6201,58694729.5886,31309925.9865736,0.533436753283122
"fetch_stage_power",173310969.7818,172007690.0976,82473997.7116,96110627.43," total power usage of fetch stage",82473997.7116,173310969.7818,90836972.0702,48455779.4591883,0.533436753283024
"window_power",54575573.975,54165171.5815,25971037.8913,30265208.6232," total power usage of instruction window",25971037.8913,54575573.975,28604536.0837,15258710.8576543,0.533436753282964
"icache_power",61325285.1617,60864125.6726,29183042.6802,34008301.042," total power usage of icache",29183042.6802,61325285.1617,32142242.4815,17145853.4725573,0.533436753282721
"lsq_power",23846861.8538,23667536.0406,11348075.8463,13224418.8467," total power usage of load/store queue",11348075.8463,23846861.8538,12498786.0075,6667311.82778629,0.53343675328032
"resultbus_power",56883644.3341,56455885.5022,27069386.0835,31545162.7561," total power usage of resultbus",27069386.0835,56883644.3341,29814258.2506,15904021.1214326,0.533436753239117
"sim_CPI",0.9623,0.955,0.4579,0.5336," cycles per instruction",0.4579,0.9623,0.5044,0.269052844871288,0.533411667072339
"alu_power_cc3",79490532.4126,80008061.3275,49625695.7796,54297627.357," total power usage of alu_cc3",49625695.7796,80008061.3275,30382365.5479,16157558.2528621,0.531807117763379
"window_power_cc1",38777690.0286,39218817.9204,23094110.6055,25424256.4225," total power usage of instruction window_cc1",23094110.6055,39218817.9204,16124707.3149,8564505.91515718,0.531141790539241
"il1.accesses",54259368,56248143,27701912,30598413," total number of accesses",27701912,56248143,28546231,15139022.8607118,0.53033350920168
"itlb.accesses",54259368,56248143,27701912,30598413," total number of accesses",27701912,56248143,28546231,15139022.8607118,0.53033350920168
"itlb.hits",54259348,56248123,27701892,30598393," total number of hits",27701892,56248123,28546231,15139022.8607118,0.53033350920168
"il1.hits",54216102,56204860,27679103,30575524," total number of hits",27679103,56204860,28525757,15127280.3606482,0.530302503826567
"total_icache_access",54259368,56248143,27702538,30741232," total number accesses of icache",27702538,56248143,28545605,15102458.1370264,0.529064216261185
"resultbus_power_cc3",18957082.9511,19247733.6283,13485576.4161,14228013.7468," total power usage of resultbus_cc3",13485576.4161,19247733.6283,5762157.2122,3045997.5614815,0.528621044047935
"sim_total_insn",44749274,45818782,27150992,29506622," total number of instructions executed",27150992,45818782,18667790,9845911.82823821,0.527427822374165
"rename_power_cc3",5090601.7426,5217871.0629,2919491.5165,3222531.7084," total power usage of rename unit_cc3",2919491.5165,5217871.0629,2298379.5464,1210212.23287745,0.526550210026465
"dispatch_stage_power_cc3",5090601.7426,5217871.0629,2919491.5165,3222531.7084," total power usage of dispatch stage_cc3",2919491.5165,5217871.0629,2298379.5464,1210212.23287745,0.526550210026465
"rename_power_cc2",4611660.8596,4723415.6355,2837044.3968,3083187.4066," total power usage of rename unit_cc2",2837044.3968,4723415.6355,1886371.2387,991938.980433919,0.525845051113861
"dispatch_stage_power_cc2",4611660.8596,4723415.6355,2837044.3968,3083187.4066," total power usage of dispatch stage_cc2",2837044.3968,4723415.6355,1886371.2387,991938.980433919,0.525845051113861
"total_rename_access",44134370,45203882,27150992,29506622," total number accesses of rename unit",27150992,45203882,18052890,9493022.86470232,0.525845051108289
"issue_stage_power_cc3",183422697.9895,185472012.3042,123236345.0472,133312857.7677," total power usage of issue stage_cc3",123236345.0472,185472012.3042,62235667.257,32701917.1790212,0.525452985728904
"mem.ptab_accesses",265872794,270745254,190727832,201311422," total page table accesses",190727832,270745254,80017422,42006481.8033815,0.524966697919629
"regfile_power_cc3",14107763.2856,13863241.8674,9067216.2553,9804933.3211," total power usage of arch. regfile_cc3",9067216.2553,14107763.2856,5040547.0303,2645707.32807705,0.524884960337248
"regfile_power_cc2",11365476.18,11479635.6054,8503360.1223,8977546.9956," total power usage of arch. regfile_cc2",8503360.1223,11479635.6054,2976275.4831,1561261.85197701,0.524568999355814
"max_cycle_power_cc3",34.2585,34.3538,38.3229,37.5997," maximum cycle power usage of cc3",34.2585,38.3229,4.0644,2.13121027333454,0.524360366434046
"total_power_cycle_cc3",422672351.7433,423304244.9328,282833454.9317,311159876.3201," total power per cycle_cc3",282833454.9317,423304244.9328,140470790.0011,73655242.4753581,0.524345612883513
"max_cycle_power_cc2",31.0008,31.1195,35.5862,34.7834," maximum cycle power usage of cc2",31.0008,35.5862,4.5854,2.40430352961102,0.524338886380909
"avg_total_power_cycle_cc2",12.0053,12.2084,20.1406,18.5991," average total power per cycle_cc2",12.0053,20.1406,8.1353,4.24106531153043,0.521316400320876
"avg_total_power_cycle_cc3",17.0718,17.2269,24.0058,22.6628," average total power per cycle_cc3",17.0718,24.0058,6.934,3.61328377921893,0.521096593484127
"avg_total_power_cycle_cc1",20.1838,20.6755,31.8404,29.8391," average total power per cycle_cc1",20.1838,31.8404,11.6566,6.06887324248359,0.52063837160781
"window_power_cc3",29794461.5586,30416837.3212,20683187.0363,22116318.9083," total power usage of instruction window_cc3",20683187.0363,30416837.3212,9733650.2849,5066663.68138434,0.520530688188413
"resultbus_power_cc2",16442837.6538,16781606.6913,13209610.9575,13623438.5398," total power usage of resultbus_cc2",13209610.9575,16781606.6913,3571995.7338,1857910.19602147,0.520132255041907
"total_regfile_access",44541187,44931422,33827079,35882472," total number accesses of arch. regfile",33827079,44931422,11104343,5768682.03456324,0.519497824820724
