"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_power_cc2",8615323.2321,8615323.2321,8615323.2324,8615323.2324," total power usage of bpred unit_cc2",8615323.2321,8615323.2324,0.000299999490380287,0.000173204786531148,0.577350269200754
"dl1.miss_rate",0.0048,0.0048,0.0047,0.0047," miss rate (i.e., misses/ref)",0.0047,0.0048,9.99999999999994e-05,5.77350269189622e-05,0.577350269189626
"ul2.misses",9386,9386,9390,9390," total number of misses",9386,9390,4,2.3094010767585,0.577350269189626
"ul2.replacements",5313,5313,5317,5317," total number of replacements",5313,5317,4,2.3094010767585,0.577350269189626
"dcache2_power_cc1",274298.3319,274464.5912,272972.4669,272913.5395," total power usage of dcache2_cc1",272913.5395,274464.5912,1551.05170000001,833.610564819959,0.537448600082095
"lsq_full",0.2246,0.2142,0.1021,0.1115," fraction of time (cycle's) LSQ was full",0.1021,0.2246,0.1225,0.0652610654729653,0.532743391616043
"total_lsq_access",9327151,9370290,9168090,9162662," total number accesses of load/store queue",9162662,9370290,207628,107331.921211337,0.516943385339824
"dl1.hits",8756309,8822916,9054398,9060724," total number of hits",8756309,9060724,304415,157093.023412616,0.516048891850322
"dl1.accesses",8798722,8865370,9096870,9103196," total number of accesses",8798722,9103196,304474,157117.810637963,0.516030303533184
"total_dcache_access",8798722,8865370,9096870,9103196," total number accesses of dcache",8798722,9103196,304474,157117.810637963,0.516030303533184
"dcache_power_cc2",26769699.3437,26972472.7602,27676800.6611,27696047.2198," total power usage of dcache_cc2",26769699.3437,27696047.2198,926347.8761,478023.575657824,0.516030303507946
"rename_power_cc3",2867854.3044,2853896.389,2919491.5165,2926638.9562," total power usage of rename unit_cc3",2853896.389,2926638.9562,72742.5671999999,36471.6192080387,0.501379324539961
"dispatch_stage_power_cc3",2867854.3044,2853896.389,2919491.5165,2926638.9562," total power usage of dispatch stage_cc3",2853896.389,2926638.9562,72742.5671999999,36471.6192080387,0.501379324539961
"bpred_bimod.bpred_jr_rate",0.9994,0.9993,0.9993,0.9993," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.9993,0.9994,9.9999999999989e-05,4.99999999999945e-05,0.5
"bpred_bimod.ras_rate.PP",0.9995,0.9994,0.9994,0.9994," RAS prediction rate (i.e., RAS hits/used RAS)",0.9994,0.9995,0.0001000000000001,5.000000000005e-05,0.5
"il1.miss_rate",9e-04,8e-04,8e-04,8e-04," miss rate (i.e., misses/ref)",8e-04,9e-04,9.99999999999999e-05,5e-05,0.5
"ul2.miss_rate",0.1239,0.1238,0.1238,0.1238," miss rate (i.e., misses/ref)",0.1238,0.1239,0.000100000000000003,5.00000000000014e-05,0.5
"max_lsq_access",4,5,5,5," max number accesses of load/store queue",4,5,1,0.5,0.5
"max_dcache_access",3,4,4,4," max number accesses of dcache",3,4,1,0.5,0.5
"bpred_bimod.retstack_pushes",338487,341526,341568,341568," total number of address pushed onto ret-addr stack",338487,341568,3081,1533.62780686841,0.497769492654465
"bpred_bimod.dir_hits",3660725,3660842,3660841,3660841," total number of direction-predicted hits (includes addr-hits)",3660725,3660842,117,58.1685768549767,0.49716732354681
"bpred_bimod.misses",148730,148613,148614,148614," total number of misses",148613,148730,117,58.1685768549767,0.49716732354681
"sim_total_stores",2552676,2604379,2690911,2691088," total number of stores executed",2552676,2691088,138412,68280.2229858691,0.493311439657465
"lsq_occupancy",5.3945,5.1604,4.6358,4.588," avg LSQ occupancy (insn's)",4.588,5.3945,0.8065,0.396442777501789,0.491559550529187
"dcache_power_cc3",37738723.1675,31651741.3443,31290736.6332,31319465.9099," total power usage of dcache_cc3",31290736.6332,37738723.1675,6447986.5343,3163282.82193796,0.49058458871012
"avg_resultbus_power_cc1",1.5281,1.7332,1.5798,1.7679," avg power usage of resultbus_cc1",1.5281,1.7679,0.2398,0.116318599831096,0.48506505350749
"sim_total_refs",9106134,9287183,9506933,9507115," total number of loads and stores executed",9106134,9507115,400981,193835.093445219,0.483402189742703
"bpred_bimod.lookups",3927736,4023913,4137659,4138016," total number of bpred lookups",3927736,4138016,210280,101445.03200913,0.482428343204916
"sim_total_branches",3814917,3922004,4040195,4040196," total number of branches executed",3814917,4040196,225279,108361.621450278,0.481010753111821
"mem.ptab_misses",456811,456755,456695,456695," total first level page table misses",456695,456811,116,55.7135531087365,0.480289250937383
"sim_total_loads",6553458,6682804,6816022,6816027," total number of loads executed",6553458,6816027,262569,125866.372544788,0.479364938529636
"rename_power_cc2",2709765.7554,2773247.1896,2837044.3968,2837103.0164," total power usage of rename unit_cc2",2709765.7554,2837103.0164,127337.261,60959.123450876,0.478721805166486
"dispatch_stage_power_cc2",2709765.7554,2773247.1896,2837044.3968,2837103.0164," total power usage of dispatch stage_cc2",2709765.7554,2837103.0164,127337.261,60959.123450876,0.478721805166486
"sim_total_insn",25932914,26540442,27150992,27151553," total number of instructions executed",25932914,27151553,1218639,583389.061771173,0.478721805039206
"total_rename_access",25932914,26540442,27150992,27151553," total number accesses of rename unit",25932914,27151553,1218639,583389.061771173,0.478721805039206
"dl1.repl_rate",0.0048,0.0047,0.0046,0.0046," replacement rate (i.e., repls/ref)",0.0046,0.0048,2e-04,9.57427107756337e-05,0.478713553878169
"avg_regfile_power_cc1",2.8209,2.9606,2.5934,2.5659," avg power usage of arch. regfile_cc1",2.5659,2.9606,0.3947,0.188785045311681,0.478300089464608
"total_icache_access",26537099,27126472,27702538,27703026," total number accesses of icache",26537099,27703026,1165927,557469.068992098,0.47813376737317
"il1.hits",26513634,27103024,27679103,27679591," total number of hits",26513634,27679591,1165957,557483.261765469,0.478133637660282
"il1.accesses",26536438,27125835,27701912,27702400," total number of accesses",26536438,27702400,1165962,557485.276414469,0.478133315163332
"itlb.accesses",26536438,27125835,27701912,27702400," total number of accesses",26536438,27702400,1165962,557485.276414469,0.478133315163332
"itlb.hits",26536418,27125815,27701892,27702380," total number of hits",26536418,27702380,1165962,557485.276414469,0.478133315163332
"mem.ptab_accesses",187427550,189098740,190727832,190728828," total page table accesses",187427550,190728828,3301278,1578350.99479203,0.478103023977997
