"metric","C1","C2","C4","desc","min","max","range","sd","index"
"ifq_full",0.81,0.8104,0.8104," fraction of time (cycle's) IFQ was full",0.81,0.8104,0.000399999999999956,0.000230940107675825,0.577350269189626
"dcache_power_cc2",27673012.807,27673012.807,27673031.0617," total power usage of dcache_cc2",27673012.807,27673031.0617,18.2547000013292,10.5393559597433,0.577350269189626
"alu_power_cc2",34105272.6769,34105271.5119,34105272.6769," total power usage of alu_cc2",34105271.5119,34105272.6769,1.16499999910593,0.672613063089723,0.577350269189626
"avg_lsq_power_cc3",0.2539,0.2536,0.2536," avg power usage of instruction lsq_cc3",0.2536,0.2539,0.000300000000000022,0.000173205080756901,0.577350269189626
"sim_elapsed_time",22,21,22," total simulation time in seconds",21,22,1,0.577350269189626,0.577350269189626
"sim_inst_rate",1169504.9091,1225195.619,1169504.9091," simulation speed (in insts/sec)",1169504.9091,1225195.619,55690.7098999999,32153.0463521263,0.577350269189626
"sim_total_insn",27151047,27151047,27151055," total number of instructions executed",27151047,27151055,8,4.61880215351701,0.577350269189626
"sim_total_refs",9506942,9506942,9506944," total number of loads and stores executed",9506942,9506944,2,1.15470053837925,0.577350269189626
"sim_total_loads",6816030,6816030,6816029," total number of loads executed",6816029,6816030,1,0.577350269189626,0.577350269189626
"sim_total_stores",2690912,2690912,2690915," total number of stores executed",2690912,2690915,3,1.73205080756888,0.577350269189626
"sim_total_branches",4040206,4040206,4040207," total number of branches executed",4040206,4040207,1,0.577350269189626,0.577350269189626
"lsq_full",0.1018,0.1018,0.1033," fraction of time (cycle's) LSQ was full",0.1018,0.1033,0.0015,0.000866025403784439,0.577350269189626
"bpred_bimod.lookups",4137664,4137664,4137663," total number of bpred lookups",4137663,4137664,1,0.577350269189626,0.577350269189626
"bpred_bimod.retstack_pops",325231,325231,325232," total number of address popped off of ret-addr stack",325231,325232,1,0.577350269189626,0.577350269189626
"il1.misses",22817,22817,22815," total number of misses",22815,22817,2,1.15470053837925,0.577350269189626
"il1.replacements",22342,22342,22340," total number of replacements",22340,22342,2,1.15470053837925,0.577350269189626
"dl1.accesses",9095625,9095625,9095631," total number of accesses",9095625,9095631,6,3.46410161513775,0.577350269189626
"dl1.hits",9053151,9053151,9053157," total number of hits",9053151,9053157,6,3.46410161513775,0.577350269189626
"ul2.accesses",75835,75835,75833," total number of accesses",75833,75835,2,1.15470053837925,0.577350269189626
"dtlb.accesses",9130360,9130360,9130361," total number of accesses",9130360,9130361,1,0.577350269189626,0.577350269189626
"dtlb.hits",9130277,9130277,9130278," total number of hits",9130277,9130278,1,0.577350269189626,0.577350269189626
"rename_power_cc2",2837050.1438,2837050.1438,2837050.9797," total power usage of rename unit_cc2",2837050.1438,2837050.9797,0.835899999830872,0.482607089917962,0.577350269189626
"dcache2_power_cc2",18360.8097,18360.8097,18360.3255," total power usage of dcache2_cc2",18360.3255,18360.8097,0.484200000002602,0.279553000343119,0.577350269189626
"dispatch_stage_power_cc2",2837050.1438,2837050.1438,2837050.9797," total power usage of dispatch stage_cc2",2837050.1438,2837050.9797,0.835899999830872,0.482607089917962,0.577350269189626
"total_rename_access",27151047,27151047,27151055," total number accesses of rename unit",27151047,27151055,8,4.61880215351701,0.577350269189626
"total_dcache_access",9095625,9095625,9095631," total number accesses of dcache",9095625,9095631,6,3.46410161513775,0.577350269189626
"total_dcache2_access",75835,75835,75833," total number accesses of dcache2",75833,75835,2,1.15470053837925,0.577350269189626
"total_alu_access",26372440,26372439,26372440," total number accesses of alu",26372439,26372440,1,0.577350269189626,0.577350269189626
"resultbus_power_cc2",13675800.027,13675795.3062,13939724.6481," total power usage of resultbus_cc2",13675795.3062,13939724.6481,263929.3419,152378.313833712,0.577345105840662
"window_power_cc2",20691763.6201,20691789.5367,20793473.5488," total power usage of instruction window_cc2",20691763.6201,20793473.5488,101709.9287,58714.7746661522,0.577276726241105
"regfile_power_cc1",31274075.136,31273995.5015,31474783.9148," total power usage of arch. regfile_cc1",31273995.5015,31474783.9148,200788.4133,115902.262808348,0.577235812084322
"regfile_power_cc2",8595433.0874,8595478.168,8647448.173," total power usage of arch. regfile_cc2",8595433.0874,8647448.173,52015.0855999999,30017.9184875076,0.577100242001865
"issue_stage_power_cc2",98447551.8765,98447883.1361,98813472.937," total power usage of issue stage_cc2",98447551.8765,98813472.937,365921.060500011,211169.06132784,0.577089115994824
"resultbus_power_cc1",20065313.2848,20065831.7218,20451512.3039," total power usage of resultbus_cc1",20065313.2848,20451512.3039,386199.019099999,222822.59854711,0.576963139539757
"issue_stage_power_cc1",152328580.5654,152330638.2261,152831134.8207," total power usage of issue stage_cc1",152328580.5654,152831134.8207,502554.255299985,289557.666879981,0.576171953229483
"window_power_cc1",23327195.8117,23327729.4128,23443127.4465," total power usage of instruction window_cc1",23327195.8117,23443127.4465,115931.634799998,66779.6561578456,0.576026175021614
"avg_total_power_cycle_cc2",19.6397,19.6141,19.6394," average total power per cycle_cc2",19.6141,19.6397,0.0256000000000007,0.0146943299722485,0.573997264540942
"resultbus_power_cc3",14048111.3385,14052908.4825,14318488.6088," total power usage of resultbus_cc3",14048111.3385,14318488.6088,270377.270299999,154736.164901723,0.57229723759706
"window_power_cc3",20956215.0413,20960849.8223,21064109.1261," total power usage of instruction window_cc3",20956215.0413,21064109.1261,107894.084800001,60998.7684998761,0.565357856391729
"max_cycle_power_cc3",38.3772,38.3733,38.4245," maximum cycle power usage of cc3",38.3733,38.4245,0.0512000000000015,0.0285012865206706,0.556665752356831
"avg_resultbus_power_cc3",1.15,1.1484,1.1694," avg power usage of resultbus_cc3",1.1484,1.1694,0.0209999999999999,0.011689881664642,0.556661031649621
