"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_nottaken.bpred_jr_non_ras_rate.PP",0.0337,0.0337,0.3754,0.3754," non-RAS JR addr-pred rate (ie, non-RAS JR hits/JRs seen)",0.0337,0.3754,0.3417,0.197280586982095,0.577350269189626
"dtlb.repl_rate",3e-04,3e-04,4e-04,4e-04," replacement rate (i.e., repls/ref)",3e-04,4e-04,1e-04,5.77350269189626e-05,0.577350269189626
"mem.ptab_miss_rate",6e-04,6e-04,7e-04,7e-04," first level page table miss rate",6e-04,7e-04,1e-04,5.77350269189626e-05,0.577350269189626
"bpred_nottaken.jr_non_ras_hits.PP",73457,73457,247371,247371," total number of address-predicted hits for non-RAS JR's",73457,247371,173914,100409.294715845,0.577350269189626
"bpred_nottaken.jr_non_ras_seen.PP",2178506,2178506,659018,659018," total number of non-RAS JR's seen",659018,2178506,1519488,877276.805830406,0.577350269189626
"bpred_nottaken.used_ras.PP",0,0,1519488,1519488," total number of RAS predictions used",0,1519488,1519488,877276.805830406,0.577350269189626
"itlb.miss_rate",3e-04,3e-04,5e-04,5e-04," miss rate (i.e., misses/ref)",3e-04,5e-04,2e-04,0.000115470053837925,0.577350269189626
"itlb.repl_rate",3e-04,3e-04,5e-04,5e-04," replacement rate (i.e., repls/ref)",3e-04,5e-04,2e-04,0.000115470053837925,0.577350269189626
"bpred_nottaken.bpred_jr_rate",0.0337,0.0337,0.7842,0.773," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.0337,0.7842,0.7505,0.430092521054094,0.573074644975476
"bpred_nottaken.jr_hits",73457,73457,1708454,1683911," total number of address-predicted hits for JR's",73457,1708454,1634997,936934.581098515,0.573049724922134
"bpred_nottaken.ras_hits.PP",0,0,1461083,1436540," total number of RAS hits",0,1461083,1461083,836531.717262163,0.572542228786566
"bpred_nottaken.retstack_pops",0,0,1750268,1837971," total number of address popped off of ret-addr stack",0,1837971,1837971,1036454.00097074,0.563912053547492
