"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_nottaken.jr_non_ras_hits.PP",0,0,34,34," total number of address-predicted hits for non-RAS JR's",0,34,34,19.6299091524473,0.577350269189626
"bpred_nottaken.jr_non_ras_seen.PP",310,310,115,115," total number of non-RAS JR's seen",115,310,195,112.583302491977,0.577350269189626
"bpred_nottaken.bpred_jr_non_ras_rate.PP",0,0,0.2957,0.2957," non-RAS JR addr-pred rate (ie, non-RAS JR hits/JRs seen)",0,0.2957,0.2957,0.170722474599372,0.577350269189626
"bpred_nottaken.used_ras.PP",0,0,195,195," total number of RAS predictions used",0,195,195,112.583302491977,0.577350269189626
"dtlb.misses",18,18,17,17," total number of misses",17,18,1,0.577350269189626,0.577350269189626
"max_lsq_access",5,5,4,4," max number accesses of load/store queue",4,5,1,0.577350269189626,0.577350269189626
"max_resultbus_access",5,5,6,6," max number accesses of resultbus",5,6,1,0.577350269189626,0.577350269189626
"bpred_nottaken.bpred_jr_rate",0,0,0.5032,0.5," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0,0.5032,0.5032,0.289601841614771,0.57552035297053
"bpred_nottaken.jr_hits",0,0,156,155," total number of address-predicted hits for JR's",0,156,156,89.7788950700553,0.57550573762856
"bpred_nottaken.ras_hits.PP",0,0,122,121," total number of RAS hits",0,122,122,70.1492456599974,0.574993816885225
"bpred_nottaken.retstack_pushes",0,0,219,223," total number of address pushed onto ret-addr stack",0,223,223,127.60485884166,0.572219097944664
"regfile_power_cc3",8584.3861,8604.1083,6533.6682,6566.313," total power usage of arch. regfile_cc3",6533.6682,8604.1083,2070.4401,1180.35480127989,0.570098502864147
"sim_total_stores",1627,1650,992,1001," total number of stores executed",992,1650,658,370.795990629169,0.563519742597521
"LSQ_fcount",465,473,162,154," cumulative LSQ full count",154,473,319,179.61532970954,0.563057459904513
"bpred_nottaken.bpred_dir_rate",0.2134,0.2134,0.8769,0.8405," branch direction-prediction rate (i.e., all-hits/updates)",0.2134,0.8769,0.6635,0.372860371542306,0.56195986668019
"bpred_nottaken.dir_hits",404,404,1660,1591," total number of direction-predicted hits (includes addr-hits)",404,1660,1256,705.795709347495,0.56193925903463
"bpred_nottaken.misses",1489,1489,233,302," total number of misses",233,1489,1256,705.795709347495,0.56193925903463
"bpred_nottaken.retstack_pops",0,0,241,256," total number of address popped off of ret-addr stack",0,256,256,143.602170364286,0.560945977985491
"avg_dcache2_power_cc2",0.1163,0.1175,0.1468,0.1461," avg power usage of dcache2_cc2",0.1163,0.1468,0.0305,0.0170701249751332,0.559676228692892
"avg_dcache2_access",0.0553,0.0559,0.0697,0.0694," avg number accesses of dcache2",0.0553,0.0697,0.0144,0.00805869096069579,0.559631316714985
"avg_dcache2_power_cc3",0.5161,0.5172,0.5413,0.5408," avg power usage of dcache2_cc3",0.5161,0.5413,0.0252,0.0140959805145533,0.559364306133067
"avg_dcache2_power_cc1",0.2115,0.2133,0.2651,0.2631," avg power usage of dcache2_cc1",0.2115,0.2651,0.0536,0.0298692149210521,0.557261472407688
"fetch_stage_power_cc2",22885.4485,22355.383,15563.6087,15568.5626," total power usage of fetch stage_cc2",15563.6087,22885.4485,7321.8398,4078.56470454471,0.557040964559852
"icache_power_cc1",18604.3094,18074.2438,11282.4696,11287.4235," total power usage of icache_cc1",11282.4696,18604.3094,7321.8398,4078.56467788393,0.557040960918583
"icache_power_cc2",18604.3094,18074.2438,11282.4696,11287.4235," total power usage of icache_cc2",11282.4696,18604.3094,7321.8398,4078.56467788393,0.557040960918583
"icache_power_cc3",21423.5645,20914.3052,13635.0689,13698.974," total power usage of icache_cc3",13635.0689,21423.5645,7788.4956,4336.29715730371,0.556756706302012
"fetch_stage_power_cc3",33445.1298,32882.0454,23564.2359,23733.0776," total power usage of fetch stage_cc3",23564.2359,33445.1298,9880.8939,5498.6875664675,0.556496975083145
"fetch_stage_power_cc1",26655.4744,26080.1776,18521.7334,18560.6107," total power usage of fetch stage_cc1",18521.7334,26655.4744,8133.741,4524.84809981961,0.556305899071486
"avg_bpred_power_cc1",0.4261,0.4267,0.5151,0.5089," avg power usage of bpred unit_cc1",0.4261,0.5151,0.089,0.0494865638330244,0.556028807112634
"bpred_power_cc3",12021.5653,11967.7401,9929.1671,10034.1036," total power usage of bpred unit_cc3",9929.1671,12021.5653,2092.3982,1163.21297304702,0.555923329052291
"clock_power_cc1",69058.4295,69456.194,49944.1512,51031.8492," total power usage of clock_cc1",49944.1512,69456.194,19512.0428,10846.776907286,0.555901656144684
"rename_power",7896.6219,7842.2864,5873.669,5973.9807," total power usage of rename unit",5873.669,7896.6219,2022.9529,1124.27469432179,0.55575920443911
"dispatch_stage_power",7896.6219,7842.2864,5873.669,5973.9807," total power usage of dispatch stage",5873.669,7896.6219,2022.9529,1124.27469432179,0.55575920443911
"icache_power",46796.8602,46474.8578,34808.4622,35402.9282," total power usage of icache",34808.4622,46796.8602,11988.398,6662.66250433992,0.555759201883347
"fetch_stage_power",132252.2872,131342.2784,98371.9575,100051.9738," total power usage of fetch stage",98371.9575,132252.2872,33880.3297,18829.3049894595,0.555759201760647
"dcache_power",114962.1342,114171.0964,85511.1878,86971.5653," total power usage of dcache",85511.1878,114962.1342,29450.9464,16367.6344438882,0.555759201133456
"dcache2_power",79522.4402,78975.2578,59150.4183,60160.6012," total power usage of dcache2",59150.4183,79522.4402,20372.0219,11321.9386149303,0.555759201050649
"issue_stage_power",655591.2453,651080.2168,487642.1834,495970.236," total power usage of issue stage",487642.1834,655591.2453,167949.0619,93339.2364561981,0.555759201035455
"total_power",1356294.4203,1346961.9546,1008839.5432,1026068.7106," total power per cycle",1008839.5432,1356294.4203,347454.8771,193101.244866646,0.555759200959696
"alu_power",357855.6269,355393.2741,266180.3379,270726.22," total power usage of alu",266180.3379,357855.6269,91675.289,50949.3853583761,0.55575920091592
"sim_cycle",18893,18763,14053,14293," total simulation time in cycles",14053,18893,4840,2689.87453238994,0.555759200907012
"clock_power",493059.5503,489666.8789,366747.7828,373011.1763," total power usage of clock",366747.7828,493059.5503,126311.7675,70198.9269632633,0.555759200846139
"falu_power",269811.7822,267955.2463,200691.5246,204118.9754," total power usage of falu",200691.5246,269811.7822,69120.2576,38414.2191120251,0.555759200643158
"regfile_power",67494.7155,67030.2941,50203.9505,51061.3438," total power usage of arch. regfile",50203.9505,67494.7155,17290.765,9609.50173375455,0.555759200576409
"window_power",41646.2068,41359.6453,30977.3008,31506.3375," total power usage of instruction window",30977.3008,41646.2068,10668.906,5929.34266943765,0.555759200562612
"bpred_power",85455.427,84867.4206,63563.4952,64649.0456," total power usage of bpred unit",63563.4952,85455.427,21891.9318,12166.6425154494,0.555759200540237
"lsq_power",18197.3595,18072.1461,13535.5684,13766.7316," total power usage of load/store queue",13535.5684,18197.3595,4661.7911,2590.83329442188,0.555759200454494
"resultbus_power",43407.4778,43108.7972,32287.3702,32838.7805," total power usage of resultbus",32287.3702,43407.4778,11120.1076,6180.10210547377,0.555759200160416
"dcache_power_cc3",18670.9264,18879.6387,14375.5911,14511.893," total power usage of dcache_cc3",14375.5911,18879.6387,4504.0476,2502.88584232932,0.555697022902094
"sim_CPI",2.0261,2.0121,1.507,1.5328," cycles per instruction",1.507,2.0261,0.5191,0.28846227945204,0.555696935950761
"dcache2_power_cc3",9750.7905,9704.4905,7606.2564,7729.162," total power usage of dcache2_cc3",7606.2564,9750.7905,2144.5341,1190.50993261646,0.555136862881529
"total_power_cycle_cc3",226858.9773,229815.4539,168308.1209,170322.8546," total power per cycle_cc3",168308.1209,229815.4539,61507.333,34107.4982532365,0.554527348035665
"sim_total_refs",5304,5535,2508,2528," total number of loads and stores executed",2508,5535,3027,1677.85406099577,0.554296022793449
"bpred_nottaken.bpred_addr_rate",0.2134,0.2134,0.7633,0.7169," branch address-prediction rate (i.e., addr-hits/updates)",0.2134,0.7633,0.5499,0.304679815544122,0.554064039905659
"bpred_nottaken.addr_hits",404,404,1445,1357," total number of address-predicted hits",404,1445,1041,576.738242186176,0.554023287402666
"total_power_cycle_cc1",193122.5639,194155.0554,141011.1545,144445.7964," total power per cycle_cc1",141011.1545,194155.0554,53143.9009,29429.5403191821,0.553770796286843
"sim_IPC",0.4936,0.497,0.6636,0.6524," instructions per cycle",0.4936,0.6636,0.17,0.0940563483591972,0.553272637407043
"avg_bpred_power_cc2",0.2266,0.2282,0.3046,0.2995," avg power usage of bpred unit_cc2",0.2266,0.3046,0.078,0.0431544030198542,0.553261577177618
"avg_bpred_power_cc3",0.6363,0.6378,0.7066,0.702," avg power usage of bpred unit_cc3",0.6363,0.7066,0.0703,0.0388770176325294,0.553015898044514
