"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"icache_power_cc1",11312.1929,11312.1929,11314.6699,11314.6699," total power usage of icache_cc1",11312.1929,11314.6699,2.47700000000077,1.43009661678315,0.577350269189626
"icache_power_cc2",11312.1929,11312.1929,11314.6699,11314.6699," total power usage of icache_cc2",11312.1929,11314.6699,2.47700000000077,1.43009661678315,0.577350269189626
"il1.miss_rate",0.0296,0.0296,0.0295,0.0295," miss rate (i.e., misses/ref)",0.0295,0.0296,0.000100000000000003,5.77350269189642e-05,0.577350269189626
"dcache_power_cc1",11406.1568,11406.1568,11403.1144,11403.1144," total power usage of dcache_cc1",11403.1144,11406.1568,3.04240000000027,1.75653045898267,0.577350269189626
"fetch_stage_power_cc2",15593.332,15593.332,15595.809,15595.809," total power usage of fetch stage_cc2",15593.332,15595.809,2.47699999999895,1.4300966167821,0.577350269189626
"total_regfile_access",12720,12720,12723,12723," total number accesses of arch. regfile",12720,12723,3,1.73205080756888,0.577350269189626
"mem.ptab_misses",455,455,457,457," total first level page table misses",455,457,2,1.15470053837925,0.577350269189626
"total_power_cycle_cc3",180359.859,168231.1899,168091.8348,178590.421," total power per cycle_cc3",168091.8348,180359.859,12268.0242,6571.99452076041,0.53570113765837
"avg_total_power_insn_cc3",15.7933,14.73,14.7139,15.6329," average total power per insn_cc3",14.7139,15.7933,1.0794,0.576012733510871,0.533641591171828
"total_power",1122001.3106,1011897.5689,1013322.674,1098354.4881," total power per cycle",1011897.5689,1122001.3106,110103.7417,57154.9731105119,0.519101097092978
"avg_total_power_insn",98.2488,88.5997,88.7012,96.1445," average total power per insn",88.5997,98.2488,9.6491,5.00855018310356,0.519069154957825
"sim_total_insn",11420,11421,11424,11424," total number of instructions executed",11420,11424,4,2.06155281280883,0.515388203202208
"total_rename_access",11420,11421,11424,11424," total number accesses of rename unit",11420,11424,4,2.06155281280883,0.515388203202208
"rename_power_cc2",1193.2915,1193.396,1193.7094,1193.7094," total power usage of rename unit_cc2",1193.2915,1193.7094,0.417899999999918,0.215375677596119,0.515376112936494
"dispatch_stage_power_cc2",1193.2915,1193.396,1193.7094,1193.7094," total power usage of dispatch stage_cc2",1193.2915,1193.7094,0.417899999999918,0.215375677596119,0.515376112936494
"sim_total_loads",1538,1539,1541,1541," total number of loads executed",1538,1541,3,1.5,0.5
"sim_total_stores",986,987,987,987," total number of stores executed",986,987,1,0.5,0.5
"sim_total_branches",2134,2135,2137,2137," total number of branches executed",2134,2137,3,1.5,0.5
"lsq_full",0.0115,0.0113,0.0113,0.0113," fraction of time (cycle's) LSQ was full",0.0113,0.0115,0.000200000000000001,1e-04,0.5
"bpred_power_cc1",7230.2175,7234.7407,7234.7407,7234.7407," total power usage of bpred unit_cc1",7230.2175,7234.7407,4.52320000000054,2.26160000000027,0.5
"max_resultbus_access",5,6,5,5," max number accesses of resultbus",5,6,1,0.5,0.5
"ruu_full",0.1939,0.1817,0.1818,0.1818," fraction of time (cycle's) RUU was full",0.1817,0.1939,0.0122,0.00606684981408528,0.497282771646335
"total_icache_access",12557,12554,12562,12562," total number accesses of icache",12554,12562,8,3.947573094109,0.493446636763625
"RUU_fcount",3208,2702,2680,2680," cumulative RUU full count",2680,3208,528,260.539824211194,0.493446636763625
"LSQ_fcount",191,168,167,167," cumulative LSQ full count",167,191,24,11.842719282327,0.493446636763625
"RUU_count",91020,80841,80321,80321," cumulative RUU occupancy",80321,91020,10699,5268.53903689944,0.492432847639914
"ruu_latency",7.9702,7.0783,7.0309,7.0309," avg RUU occupant latency (cycle's)",7.0309,7.9702,0.9393,0.462290322741024,0.492164721325481
"ul2.hits",0,42,109,109," total number of hits",0,109,109,53.622134733087,0.491946190211807
"ul2.misses",979,937,870,870," total number of misses",870,979,109,53.622134733087,0.491946190211807
"ul2.miss_rate",1,0.9571,0.8887,0.8887," miss rate (i.e., misses/ref)",0.8887,1,0.1113,0.0547516438109396,0.49192851582156
"avg_sim_slip",11.8756,10.7176,10.6489,10.6489," the average slip between issue and retirement",10.6489,11.8756,1.2267,0.602770628016993,0.491375746325094
"sim_slip",110740,99942,99301,99301," total number of slip cycles",99301,110740,11439,5620.79478365827,0.491371167379864
"IFQ_fcount",5055,4517,4485,4485," cumulative IFQ full count",4485,5055,570,280.073204716196,0.491356499502097
"IFQ_count",23054,20908,20778,20778," cumulative IFQ occupancy",20778,23054,2276,1118.0141621047,0.491218876144419
"ifq_latency",2.0187,1.8307,1.8188,1.8188," avg IFQ occupant latency (cycle's)",1.8188,2.0187,0.1999,0.0981271454117904,0.490881167642774
"icache_power_cc3",14279.5691,13863.4429,13834.215,13834.215," total power usage of icache_cc3",13834.215,14279.5691,445.3541,218.241094391975,0.490039486314316
"rename_power_cc3",1716.2499,1646.2198,1641.1833,1641.1833," total power usage of rename unit_cc3",1641.1833,1716.2499,75.0666000000001,36.7706137670083,0.489839872420068
"dispatch_stage_power_cc3",1716.2499,1646.2198,1641.1833,1641.1833," total power usage of dispatch stage_cc3",1641.1833,1716.2499,75.0666000000001,36.7706137670083,0.489839872420068
"LSQ_count",21257,18574,18377,18377," cumulative LSQ occupancy",18377,21257,2880,1410.22772983657,0.489662406193253
