"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_bimod.retstack_pushes",220,219,219,220," total number of address pushed onto ret-addr stack",219,220,1,0.577350269189626,0.577350269189626
"bpred_bimod.retstack_pops",241,241,243,243," total number of address popped off of ret-addr stack",241,243,2,1.15470053837925,0.577350269189626
"il1.miss_rate",0.0296,0.0296,0.0295,0.0295," miss rate (i.e., misses/ref)",0.0295,0.0296,0.000100000000000003,5.77350269189642e-05,0.577350269189626
"max_cycle_power_cc3",29.8764,29.8923,29.0014,28.9801," maximum cycle power usage of cc3",28.9801,29.8923,0.912199999999999,0.516034304415252,0.565703030492494
"max_cycle_power_cc1",35.4461,35.4819,32.9377,32.8311," maximum cycle power usage of cc1",32.8311,35.4819,2.6508,1.49004012921353,0.562109600578515
"max_cycle_power_cc2",26.1072,26.1151,25.3242,25.2836," maximum cycle power usage of cc2",25.2836,26.1151,0.831500000000002,0.466371792850582,0.560880087613447
"avg_alu_power_cc1",1.3886,1.4516,1.4533,1.3965," avg power usage of alu_cc1",1.3886,1.4533,0.0647,0.0347402744184133,0.536943963190315
"avg_total_power_insn",88.5997,84.8466,85.4788,88.851," average total power per insn",84.8466,88.851,4.0044,2.07556332012139,0.518320677285333
"dcache_power_cc1",11406.1568,11415.2842,11403.1144,11415.2842," total power usage of dcache_cc1",11403.1144,11415.2842,12.1697999999997,6.27218146102271,0.515389033593229
"total_power_cycle_cc3",167368.0317,163741.9207,163520.3109,166687.8752," total power per cycle_cc3",163520.3109,167368.0317,3847.72079999998,1982.78994554236,0.515315442207338
"total_resultbus_access",9693,9708,9693,9704," total number accesses of resultbus",9693,9708,15,7.68114574786861,0.51207638319124
"icache_power_cc3",13863.4429,13662.3152,13653.1505,13818.6103," total power usage of icache_cc3",13653.1505,13863.4429,210.2924,107.460962933039,0.511007354203188
"sim_total_branches",2135,2134,2141,2142," total number of branches executed",2134,2142,8,4.08248290463863,0.510310363079829
"avg_total_power_cycle_cc2",5.4505,5.7518,5.6969,5.4155," average total power per cycle_cc2",5.4155,5.7518,0.3363,0.170298098932431,0.506387448505593
"total_power",1011897.5689,970560.6542,978219.4629,1016988.455," total power per cycle",970560.6542,1016988.455,46427.8008,23427.3793672827,0.504598084845809
"rename_power_cc3",1646.2198,1618.2161,1616.3979,1639.595," total power usage of rename unit_cc3",1616.3979,1646.2198,29.8219000000001,15.0441283485175,0.504465790191685
"dispatch_stage_power_cc3",1646.2198,1618.2161,1616.3979,1639.595," total power usage of dispatch stage_cc3",1616.3979,1646.2198,29.8219000000001,15.0441283485175,0.504465790191685
"sim_total_refs",2526,2508,2508,2508," total number of loads and stores executed",2508,2526,18,9,0.5
"bpred_bimod.jr_hits",154,156,156,156," total number of address-predicted hits for JR's",154,156,2,1,0.5
"bpred_bimod.bpred_jr_rate",0.4968,0.5032,0.5032,0.5032," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.4968,0.5032,0.00639999999999996,0.00319999999999998,0.5
"bpred_bimod.ras_hits.PP",120,122,122,122," total number of RAS hits",120,122,2,1,0.5
"bpred_bimod.ras_rate.PP",0.6154,0.6256,0.6256,0.6256," RAS prediction rate (i.e., RAS hits/used RAS)",0.6154,0.6256,0.0102000000000001,0.00510000000000005,0.5
"il1.misses",338,339,339,339," total number of misses",338,339,1,0.5,0.5
"ul2.accesses",979,980,980,980," total number of accesses",979,980,1,0.5,0.5
"total_dcache2_access",979,980,980,980," total number accesses of dcache2",979,980,1,0.5,0.5
"max_regfile_access",10,10,12,10," max number accesses of arch. regfile",10,12,2,1,0.5
"mem.ptab_miss_rate",0.002,0.0019,0.0019,0.0019," first level page table miss rate",0.0019,0.002,1e-04,5e-05,0.5
"fetch_stage_power_cc3",24161.2448,23637.1659,23602.2194,24022.3311," total power usage of fetch stage_cc3",23602.2194,24161.2448,559.025399999999,278.766993046797,0.498666058906801
"avg_resultbus_access",0.652,0.6859,0.6875,0.662," avg number accesses of resultbus",0.652,0.6875,0.0355,0.0176386885377948,0.496864465853374
"avg_total_power_insn_cc3",14.6544,14.3144,14.2887,14.563," average total power per insn_cc3",14.2887,14.6544,0.3657,0.181519831331639,0.496362677964559
"dcache_power_cc3",14880.6383,14437.0486,14410.275,14753.4637," total power usage of dcache_cc3",14410.275,14880.6383,470.363300000001,233.238193661687,0.495868180322927
"alu_power_cc3",38078.9331,36756.8541,36646.6195,37725.4998," total power usage of alu_cc3",36646.6195,38078.9331,1432.3136,709.385831161283,0.495272705056548
"avg_dcache_power_cc1",0.7672,0.8065,0.8088,0.7787," avg power usage of dcache_cc1",0.7672,0.8088,0.0416,0.020598219987821,0.495149518938004
"avg_bpred_power_cc2",0.288,0.3025,0.3036,0.292," avg power usage of bpred unit_cc2",0.288,0.3036,0.0156,0.00772242405811371,0.495027183212417
"lsq_power_cc3",1884.3356,1814.7896,1810.2219,1864.1723," total power usage of lsq_cc3",1810.2219,1884.3356,74.1137000000001,36.6358270837441,0.494319229558693
"sim_total_loads",1539,1516,1517,1516," total number of loads executed",1516,1539,23,11.3431330181157,0.493179696439813
"sim_IPC",0.6272,0.6588,0.6614,0.6361," instructions per cycle",0.6272,0.6614,0.0342,0.0168561314264771,0.492869339955469
"avg_alu_access",0.6919,0.7279,0.73,0.703," avg number accesses of alu",0.6919,0.73,0.0381,0.0187621960335138,0.492446090118472
"avg_bpred_power_cc3",0.6927,0.7047,0.7057,0.6961," avg power usage of bpred unit_cc3",0.6927,0.7057,0.013,0.0064010415819094,0.492387813993031
"rename_power",6213.8929,5915.8835,5892.8954,6126.9561," total power usage of rename unit",5892.8954,6213.8929,320.997499999999,157.921792665892,0.491972033009269
"dispatch_stage_power",6213.8929,5915.8835,5892.8954,6126.9561," total power usage of dispatch stage",5892.8954,6213.8929,320.997499999999,157.921792665892,0.491972033009269
"resultbus_power",34157.5701,32519.422,32393.0572,33679.6812," total power usage of resultbus",32393.0572,34157.5701,1764.5129,868.090988116208,0.491972027020153
"bpred_power",67245.3201,64020.331,63771.5591,66304.5098," total power usage of bpred unit",63771.5591,67245.3201,3473.761,1708.99321478211,0.491972019601265
"fetch_stage_power",104070.0129,99078.9643,98693.9606,102613.9987," total power usage of fetch stage",98693.9606,104070.0129,5376.0523,2644.86730250227,0.491972018669213
"alu_power",281598.4547,268093.3966,267051.632,277658.6902," total power usage of alu",267051.632,281598.4547,14546.8227,7156.62972389515,0.491972018322265
"falu_power",212316.2952,202133.9102,201348.4527,209345.8379," total power usage of falu",201348.4527,212316.2952,10967.8425,5395.87160580249,0.491972017815035
"sim_cycle",14867,14154,14099,14659," total simulation time in cycles",14099,14867,768,377.834509629106,0.491972017746231
"clock_power",387991.1255,369383.6276,367948.2666,382562.8512," total power usage of clock",367948.2666,387991.1255,20042.8589000001,9860.52572884061,0.491972017467058
