"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"dl1.repl_rate",0.0441,0.0441,0.0446,0.0446," replacement rate (i.e., repls/ref)",0.0441,0.0446,5e-04,0.000288675134594813,0.577350269189626
"bpred_bimod.addr_hits",1449,1449,1445,1445," total number of address-predicted hits",1445,1449,4,2.3094010767585,0.577350269189626
"bpred_bimod.dir_hits",1643,1643,1660,1660," total number of direction-predicted hits (includes addr-hits)",1643,1660,17,9.81495457622364,0.577350269189626
"bpred_bimod.misses",250,250,233,233," total number of misses",233,250,17,9.81495457622364,0.577350269189626
"bpred_bimod.jr_hits",157,157,156,156," total number of address-predicted hits for JR's",156,157,1,0.577350269189626,0.577350269189626
"bpred_bimod.bpred_addr_rate",0.7655,0.7655,0.7633,0.7633," branch address-prediction rate (i.e., addr-hits/updates)",0.7633,0.7655,0.00219999999999998,0.00127017059221717,0.577350269189626
"bpred_bimod.bpred_dir_rate",0.8679,0.8679,0.8769,0.8769," branch direction-prediction rate (i.e., all-hits/updates)",0.8679,0.8769,0.00900000000000001,0.00519615242270664,0.577350269189626
"bpred_bimod.bpred_jr_rate",0.5065,0.5065,0.5032,0.5032," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.5032,0.5065,0.00329999999999997,0.00190525588832575,0.577350269189626
"bpred_bimod.ras_hits.PP",123,123,122,122," total number of RAS hits",122,123,1,0.577350269189626,0.577350269189626
"bpred_bimod.ras_rate.PP",0.6308,0.6308,0.6256,0.6256," RAS prediction rate (i.e., RAS hits/used RAS)",0.6256,0.6308,0.00519999999999998,0.00300222139978604,0.577350269189626
"dl1.wb_rate",0.0365,0.0365,0.0367,0.0367," writeback rate (i.e., wrbks/ref)",0.0365,0.0367,0.000200000000000006,0.000115470053837928,0.577350269189626
"max_dcache2_access",3,3,4,4," max number accesses of dcache2",3,4,1,0.577350269189626,0.577350269189626
"ifq_full",0.1433,0.1261,0.332,0.332," fraction of time (cycle's) IFQ was full",0.1261,0.332,0.2059,0.114127428780289,0.554285715300094
"LSQ_fcount",29,62,162,162," cumulative LSQ full count",29,162,133,68.5972545611946,0.515768831287177
"lsq_full",0.0015,0.004,0.0115,0.0115," fraction of time (cycle's) LSQ was full",0.0015,0.0115,0.01,0.00515388203202208,0.515388203202208
"dl1.misses",553,554,557,557," total number of misses",553,557,4,2.06155281280883,0.515388203202208
"dl1.replacements",98,99,102,102," total number of replacements",98,102,4,2.06155281280883,0.515388203202208
"bpred_bimod.retstack_pops",205,215,241,241," total number of address popped off of ret-addr stack",205,241,36,18.3575597506858,0.509932215296828
"dcache2_power_cc1",3704.004,3695.5858,3725.0495,3725.0495," total power usage of dcache2_cc1",3695.5858,3725.0495,29.4637000000002,14.9802966902085,0.508432297715777
"IFQ_fcount",2756,1948,4666,4666," cumulative IFQ full count",1948,4666,2718,1376.1090073101,0.506294704676271
"RUU_fcount",1092,1623,2869,2869," cumulative RUU full count",1092,2869,1777,899.187179253204,0.506014169529096
"max_cycle_power_cc1",32.1384,31.5761,35.4181,36.0741," maximum cycle power usage of cc1",31.5761,36.0741,4.498,2.27276725362864,0.505283960344295
"ruu_full",0.0568,0.105,0.2042,0.2042," fraction of time (cycle's) RUU was full",0.0568,0.2042,0.1474,0.0738568660766666,0.501064220330167
"il1.misses",333,339,339,339," total number of misses",333,339,6,3,0.5
"dl1.writebacks",81,82,84,84," total number of writebacks",81,84,3,1.5,0.5
"itlb.miss_rate",0.0011,0.001,0.001,0.001," miss rate (i.e., misses/ref)",0.001,0.0011,1e-04,5e-05,0.5
"dtlb.accesses",2222,2245,2291,2291," total number of accesses",2222,2291,69,34.5,0.5
