"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_bimod.bpred_dir_rate",0.8785,0.8785,0.8769,0.8769," branch direction-prediction rate (i.e., all-hits/updates)",0.8769,0.8785,0.00159999999999993,0.000923760430703364,0.577350269189626
"itlb.miss_rate",9e-04,9e-04,0.001,0.001," miss rate (i.e., misses/ref)",9e-04,0.001,1e-04,5.77350269189626e-05,0.577350269189626
"bpred_bimod.dir_hits",1663,1663,1660,1660," total number of direction-predicted hits (includes addr-hits)",1660,1663,3,1.73205080756888,0.577350269189626
"bpred_bimod.misses",230,230,233,233," total number of misses",230,233,3,1.73205080756888,0.577350269189626
"bpred_bimod.jr_hits",152,152,156,156," total number of address-predicted hits for JR's",152,156,4,2.3094010767585,0.577350269189626
"bpred_bimod.bpred_jr_rate",0.4903,0.4903,0.5032,0.5032," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.4903,0.5032,0.0129,0.00744781847254615,0.577350269189626
"bpred_bimod.ras_hits.PP",118,118,122,122," total number of RAS hits",118,122,4,2.3094010767585,0.577350269189626
"bpred_bimod.ras_rate.PP",0.6051,0.6051,0.6256,0.6256," RAS prediction rate (i.e., RAS hits/used RAS)",0.6051,0.6256,0.0205000000000001,0.0118356805183874,0.577350269189626
"il1.replacements",83,83,84,84," total number of replacements",83,84,1,0.577350269189626,0.577350269189626
"dl1.wb_rate",0.0365,0.0365,0.0367,0.0367," writeback rate (i.e., wrbks/ref)",0.0365,0.0367,0.000200000000000006,0.000115470053837928,0.577350269189626
"max_dcache2_access",3,3,4,4," max number accesses of dcache2",3,4,1,0.577350269189626,0.577350269189626
"avg_fetch_power_cc3",1.7348,1.7386,1.6768,1.6755," average power of fetch unit per cycle_cc3",1.6755,1.7386,0.0630999999999999,0.034996987965633,0.554627384558368
"avg_fetch_power_cc2",1.1703,1.1756,1.1075,1.1061," average power of fetch unit per cycle_cc2",1.1061,1.1756,0.0694999999999999,0.0382572324317028,0.550463775995724
"dcache2_power_cc2",2045.6204,2047.7249,2062.4568,2062.4568," total power usage of dcache2_cc2",2045.6204,2062.4568,16.8363999999999,9.15339374854118,0.543666920989121
"ul2.accesses",972,973,980,980," total number of accesses",972,980,8,4.3493294502333,0.543666181279162
"total_dcache2_access",972,973,980,980," total number accesses of dcache2",972,980,8,4.3493294502333,0.543666181279162
"bpred_bimod.bpred_addr_rate",0.7602,0.7607,0.7633,0.7633," branch address-prediction rate (i.e., addr-hits/updates)",0.7602,0.7633,0.00309999999999999,0.00165806111668618,0.534858424737477
"bpred_bimod.addr_hits",1439,1440,1445,1445," total number of address-predicted hits",1439,1445,6,3.20156211871642,0.533593686452737
"issue_stage_power",604803.8769,493337.9519,487642.1834,587276.3486," total power usage of issue stage",487642.1834,604803.8769,117161.6935,61402.0630331166,0.524079681667597
"ul2.hits",445,447,454,454," total number of hits",445,454,9,4.69041575982343,0.521157306647048
"dl1.misses",553,554,557,557," total number of misses",553,557,4,2.06155281280883,0.515388203202208
"dl1.replacements",98,99,102,102," total number of replacements",98,102,4,2.06155281280883,0.515388203202208
"bpred_bimod.retstack_pushes",226,224,219,219," total number of address pushed onto ret-addr stack",219,226,7,3.55902608401044,0.508432297715777
"ul2.miss_rate",0.5422,0.5406,0.5367,0.5367," miss rate (i.e., misses/ref)",0.5367,0.5422,0.00550000000000006,0.0027910571473906,0.507464935889194
"mem.ptab_misses",477,461,427,427," total first level page table misses",427,477,50,25.1130776024498,0.502261552048996
"dl1.writebacks",81,82,84,84," total number of writebacks",81,84,3,1.5,0.5
"ul2.misses",527,526,526,526," total number of misses",526,527,1,0.5,0.5
"avg_lsq_power",0.9632,0.9632,0.9632,0.9633," avg power usage of lsq",0.9632,0.9633,0.0001000000000001,5.000000000005e-05,0.5
"avg_icache_power",2.4769,2.4769,2.4769,2.477," avg power usage of icache",2.4769,2.477,9.99999999997669e-05,4.99999999998835e-05,0.5
"avg_dcache_power",6.0849,6.0849,6.0849,6.0851," avg power usage of dcache",6.0849,6.0851,0.000199999999999534,9.99999999997669e-05,0.5
"avg_fetch_power",7.0001,7.0001,7.0001,7.0002," average power of fetch unit per cycle",7.0001,7.0002,0.000100000000000655,5.00000000003276e-05,0.5
"max_lsq_access",1,2,4,4," max number accesses of load/store queue",1,4,3,1.5,0.5
"max_regfile_access",9,10,10,10," max number accesses of arch. regfile",9,10,1,0.5,0.5
"max_dcache_access",3,4,4,4," max number accesses of dcache",3,4,1,0.5,0.5
"max_alu_access",1,2,4,4," max number accesses of alu",1,4,3,1.5,0.5
"dtlb.miss_rate",0.0077,0.0076,0.0074,0.0074," miss rate (i.e., misses/ref)",0.0074,0.0077,3e-04,0.00015,0.5
"dl1.repl_rate",0.0442,0.044,0.0446,0.0446," replacement rate (i.e., repls/ref)",0.044,0.0446,0.000600000000000003,0.000300000000000001,0.499999999999999
"total_window_access",34192,34818,36665,36867," total number accesses of instruction window",34192,36867,2675,1332.72415250369,0.498214636449976
"total_regfile_access",11314,11753,12743,12790," total number accesses of arch. regfile",11314,12790,1476,734.337343006151,0.497518525071918
"il1.miss_rate",0.0282,0.0287,0.0296,0.0296," miss rate (i.e., misses/ref)",0.0282,0.0296,0.0014,0.000694622199472491,0.496158713908922
"avg_fetch_power_cc1",1.3574,1.378,1.318,1.3171," average power of fetch unit per cycle_cc1",1.3171,1.378,0.0609,0.0301529849268691,0.495122905203106
"sim_total_branches",2222,2191,2134,2133," total number of branches executed",2133,2222,89,44.007575105505,0.494467136016911
"avg_icache_power_cc3",1.103,1.0549,0.9703,0.9684," avg power usage of icache_cc3",0.9684,1.103,0.1346,0.066259011965669,0.492266062152073
"avg_icache_power_cc1",0.9504,0.8969,0.8029,0.8008," avg power usage of icache_cc1",0.8008,0.9504,0.1496,0.0736400479811541,0.492246310034452
"avg_icache_power_cc2",0.9504,0.8969,0.8029,0.8008," avg power usage of icache_cc2",0.8008,0.9504,0.1496,0.0736400479811541,0.492246310034452
"bpred_bimod.lookups",2356,2305,2240,2239," total number of bpred lookups",2239,2356,117,56.5154846037792,0.48303832994683
"total_resultbus_access",8960,9195,9704,9784," total number accesses of resultbus",8960,9784,824,397.925767784227,0.482919621097363
