"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"window_power_cc3",140768160.1855,140946599.0893,138712921.0855,138795572.4731," total power usage of instruction window_cc3",138712921.0855,140946599.0893,2233678.0038,1216895.45784216,0.544794485047504
"dl1.hits",52363074,52363298,52357139,52358025," total number of hits",52357139,52363298,6159,3256.91070392379,0.528805115103716
"dtlb.hits",54186562,54187548,54181612,54181112," total number of hits",54181112,54187548,6436,3317.6973440425,0.515490575519345
"dtlb.accesses",54207447,54208547,54202655,54202162," total number of accesses",54202162,54208547,6385,3263.83500144641,0.511172279004919
"max_window_access",18,17,17,17," max number accesses of instruction window",17,18,1,0.5,0.5
"max_resultbus_access",8,8,9,8," max number accesses of resultbus",8,9,1,0.5,0.5
"dcache_power_cc2",163410234.0201,163412713.6194,163394528.877,163397416.165," total power usage of dcache_cc2",163394528.877,163412713.6194,18184.7423999906,9083.55079761223,0.499514955879548
"dl1.accesses",53710025,53710840,53704863,53705812," total number of accesses",53704863,53710840,5977,2985.60088871012,0.499514955447569
"total_dcache_access",53710025,53710840,53704863,53705812," total number accesses of dcache",53704863,53710840,5977,2985.60088871012,0.499514955447569
"itlb.misses",90081,90201,90440,90434," total number of misses",90081,90440,359,177.795762979137,0.495252821668904
"itlb.replacements",90017,90137,90376,90370," total number of replacements",90017,90376,359,177.795762979137,0.495252821668904
"dcache_power_cc1",232694978.8043,232700649.937,232637296.9352,232613504.9517," total power usage of dcache_cc1",232613504.9517,232700649.937,87144.9853000045,42983.7742694188,0.493244380286982
"avg_dcache2_power_cc3",0.057,0.1176,0.2146,0.2143," avg power usage of dcache2_cc3",0.057,0.2146,0.1576,0.0774668692625004,0.491541048619927
"dcache2_power_cc2",1700901.0078,3487637.0021,6339540.5451,6319225.5," total power usage of dcache2_cc2",1700901.0078,6339540.5451,4638639.5373,2276510.18239646,0.490771090120433
"avg_issue_power",30.9754,31.4835,32.2942,32.2884," average power of issue unit per cycle",30.9754,32.2942,1.3188,0.647205543728832,0.490753369524442
"avg_total_power_cycle",68.0633,68.5715,69.3822,69.3764," average total power per cycle",68.0633,69.3822,1.3189,0.647245973336259,0.490746814266631
"avg_dcache2_power",0.4842,0.9924,1.8031,1.7973," avg power usage of dcache2",0.4842,1.8031,1.3189,0.647245973336258,0.49074681426663
"dcache2_power_cc1",3164607.2774,6491630.3613,11800842.4282,11760527.8238," total power usage of dcache2_cc1",3164607.2774,11800842.4282,8636235.1508,4237669.64979695,0.490684838451208
"avg_dcache2_power_cc2",0.0105,0.0226,0.0421,0.0424," avg power usage of dcache2_cc2",0.0105,0.0424,0.0319,0.0156390536798107,0.490252466451745
"avg_dcache2_power_cc1",0.0195,0.042,0.0784,0.079," avg power usage of dcache2_cc1",0.0195,0.079,0.0595,0.0291690903754871,0.490236813033396
"dcache2_power_cc3",9249293.0833,18180405.2285,32311293.4365,31903049.3214," total power usage of dcache2_cc3",9249293.0833,32311293.4365,23062000.3532,11228583.0281522,0.486886777217233
"dcache2_power",78638905.2576,153399810.6155,271483014.4761,267563288.4816," total power usage of dcache2",78638905.2576,271483014.4761,192844109.2185,93747343.5050819,0.486130190260893
"window_power_cc1",172321623.4281,174810970.938,172339697.0148,172632291.007," total power usage of instruction window_cc1",172321623.4281,174810970.938,2489347.5099,1198371.96206851,0.48140002844225
"il1.misses",5255231,5258372,5261266,5261197," total number of misses",5255231,5261266,6035,2861.24803771594,0.47410903690405
"il1.replacements",5254719,5257860,5260754,5260685," total number of replacements",5254719,5260754,6035,2861.24803771594,0.47410903690405
"dl1.writebacks",422989,422973,422891,422986," total number of writebacks",422891,422989,98,46.3564091217888,0.473024582875396
"ul2.accesses",7025171,7028887,7031881,7031970," total number of accesses",7025171,7031970,6799,3208.53033594303,0.471912095299754
"total_dcache2_access",7025171,7028887,7031881,7031970," total number accesses of dcache2",7025171,7031970,6799,3208.53033594303,0.471912095299754
"avg_resultbus_power_cc3",0.6134,0.6655,0.6525,0.665," avg power usage of resultbus_cc3",0.6134,0.6655,0.0521,0.0245480481233573,0.471171749008778
"regfile_power_cc3",85521935.326,83895938.4076,81654753.3677,81303993.9793," total power usage of arch. regfile_cc3",81303993.9793,85521935.326,4217941.3467,1984399.7818918,0.47046642396873
"rename_power_cc1",24789919.632,24794912.2297,24792797.7423,24789469.9011," total power usage of rename unit_cc1",24789469.9011,24794912.2297,5442.32860000059,2558.91144146289,0.470186868441316
"dispatch_stage_power_cc1",24789919.632,24794912.2297,24792797.7423,24789469.9011," total power usage of dispatch stage_cc1",24789469.9011,24794912.2297,5442.32860000059,2558.91144146289,0.470186868441316
"total_alu_access",157004931,157037097,157035809,157040091," total number accesses of alu",157004931,157040091,35160,16465.3336437498,0.468297316375137
"avg_resultbus_power_cc1",0.7862,0.8765,0.8588,0.8795," avg power usage of resultbus_cc1",0.7862,0.8795,0.0932999999999999,0.043665890578345,0.468015976188049
"alu_power_cc2",183148294.3535,183185809.6813,183184429.3806,183189480.5862," total power usage of alu_cc2",183148294.3535,183189480.5862,41186.2326999903,19257.7716309929,0.467577886311449
"bpred_power_cc1",91682634.4535,91668637.6389,91636778.9982,91623980.812," total power usage of bpred unit_cc1",91623980.812,91682634.4535,58653.6414999962,27251.7308425302,0.464621294528354
"avg_resultbus_power_cc2",0.4808,0.5377,0.5271,0.5407," avg power usage of resultbus_cc2",0.4808,0.5407,0.0599,0.0278023230444268,0.464145626785089
"max_cycle_power_cc2",31.616,32.0333,31.9554,32.0038," maximum cycle power usage of cc2",31.616,32.0333,0.417299999999997,0.193434250241953,0.463537623393132
"dtlb.misses",20885,20999,21043,21050," total number of misses",20885,21050,165,76.2512294982842,0.462128663625965
"dtlb.replacements",20757,20871,20915,20922," total number of replacements",20757,20922,165,76.2512294982842,0.462128663625965
"clock_power_cc2",525595749.9015,531446663.9539,531820866.7771,530260912.0535," total power usage of clock_cc2",525595749.9015,531820866.7771,6225116.87560004,2868340.21880513,0.460768894162914
"dl1.misses",1346951,1347542,1347724,1347787," total number of misses",1346951,1347787,836,381.097537821138,0.455858298829112
"dl1.replacements",1346439,1347030,1347212,1347275," total number of replacements",1346439,1347275,836,381.097537821138,0.455858298829112
"alu_power_cc1",307922163.4254,307740145.6454,307314210.4747,307044499.262," total power usage of alu_cc1",307044499.262,307922163.4254,877664.163399994,399073.9744344,0.454700090394967
"issue_stage_power_cc2",563561702.1659,572294024.6127,569980390.2597,571518556.1484," total power usage of issue stage_cc2",563561702.1659,572294024.6127,8732322.44679999,3969516.62694242,0.4545774221149
"bpred_bimod.bpred_jr_rate",0.7851,0.7844,0.7843,0.7842," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.7842,0.7851,0.000900000000000012,0.000408248290463872,0.453609211626519
"bpred_bimod.addr_hits",20046114,20044458,20044387,20044101," total number of address-predicted hits",20044101,20046114,2013,912.474657182324,0.453290937497429
"fetch_stage_power_cc1",253361969.4579,253327399.1652,253244329.7541,253182426.1981," total power usage of fetch stage_cc1",253182426.1981,253361969.4579,179543.259799987,81147.8720622832,0.451968356554753
"total_regfile_access",214481602,214439244,214392898,214376550," total number accesses of arch. regfile",214376550,214481602,105052,47473.035276179,0.451900347220224
