"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"ul2.miss_rate",0.0602,0.0602,0.0605,0.0605," miss rate (i.e., misses/ref)",0.0602,0.0605,0.000300000000000002,0.000173205080756889,0.577350269189626
"ul2.repl_rate",0.0596,0.0596,0.0599,0.0599," replacement rate (i.e., repls/ref)",0.0596,0.0599,0.000300000000000002,0.000173205080756889,0.577350269189626
"max_lsq_access",5,5,6,6," max number accesses of load/store queue",5,6,1,0.577350269189626,0.577350269189626
"IFQ_fcount",4076670,6602710,55822170,55822170," cumulative IFQ full count",4076670,55822170,51745500,29164311.6724945,0.563610587828787
"ifq_full",0.0204,0.0484,0.4819,0.4819," fraction of time (cycle's) IFQ was full",0.0204,0.4819,0.4615,0.258616994801192,0.560383520695975
"lsq_full",0.0023,0.0116,0.1006,0.1006," fraction of time (cycle's) LSQ was full",0.0023,0.1006,0.0983,0.0542019910458401,0.551393601687082
"LSQ_fcount",458279,1584337,11658612,11658612," cumulative LSQ full count",458279,11658612,11200333,6158631.87453453,0.549861497379991
"ruu_full",0.0092,0.0353,0.2249,0.2249," fraction of time (cycle's) RUU was full",0.0092,0.2249,0.2157,0.11748422234496,0.544664915831989
"bpred_bimod.bpred_jr_rate",0.7956,0.7942,0.7842,0.7842," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.7842,0.7956,0.0114,0.00620403094769843,0.54421324102618
"RUU_fcount",1845860,4819226,26053920,26053920," cumulative RUU full count",1845860,26053920,24208060,13174235.2777572,0.544208634552178
"bpred_bimod.jr_hits",1733239,1730062,1708454,1708454," total number of address-predicted hits for JR's",1708454,1733239,24785,13455.163528673,0.54287526845564
"bpred_bimod.ras_hits.PP",1485868,1482691,1461083,1461083," total number of RAS hits",1461083,1485868,24785,13455.163528673,0.54287526845564
"bpred_bimod.ras_rate.PP",0.9779,0.9758,0.9616,0.9616," RAS prediction rate (i.e., RAS hits/used RAS)",0.9616,0.9779,0.0163,0.00884623271982674,0.542713663793052
"bpred_bimod.addr_hits",20069452,20066115,20044221,20044221," total number of address-predicted hits",20044221,20069452,25231,13671.8590634193,0.541867506774178
"ifq_latency",1.1196,1.1823,1.5145,1.5145," avg IFQ occupant latency (cycle's)",1.1196,1.5145,0.3949,0.2114507409146,0.535453889376045
"bpred_bimod.bpred_addr_rate",0.8647,0.8645,0.8636,0.8636," branch address-prediction rate (i.e., addr-hits/updates)",0.8636,0.8647,0.00109999999999999,0.000583095189484529,0.530086535895032
"IFQ_count",167364451,188147775,254556811,254556811," cumulative IFQ occupancy",167364451,254556811,87192360,45145396.5594562,0.517767801668131
"lsq_latency",1.4698,1.6167,2.0057,2.0057," avg LSQ occupant latency (cycle's)",1.4698,2.0057,0.5359,0.273648075393683,0.510632721391459
"LSQ_count",219704516,257274434,337114799,337114799," cumulative LSQ occupancy",219704516,337114799,117410283,58970907.8087615,0.502263569271539
"ul2.wb_rate",0.014,0.0138,0.0138,0.0138," writeback rate (i.e., wrbks/ref)",0.0138,0.014,0.000200000000000001,1e-04,0.5
"itlb.miss_rate",6e-04,5e-04,5e-04,5e-04," miss rate (i.e., misses/ref)",5e-04,6e-04,9.99999999999999e-05,5e-05,0.5
"itlb.repl_rate",6e-04,5e-04,5e-04,5e-04," replacement rate (i.e., repls/ref)",5e-04,6e-04,9.99999999999999e-05,5e-05,0.5
"max_rename_access",1,2,4,4," max number accesses of rename unit",1,4,3,1.5,0.5
"max_window_access",11,13,17,17," max number accesses of instruction window",11,17,6,3,0.5
"max_regfile_access",6,8,12,12," max number accesses of arch. regfile",6,12,6,3,0.5
"max_icache_access",1,2,4,4," max number accesses of icache",1,4,3,1.5,0.5
"max_resultbus_access",7,8,8,8," max number accesses of resultbus",7,8,1,0.5,0.5
"dtlb.misses",20747,20820,20960,20960," total number of misses",20747,20960,213,106.170852874035,0.498454708328803
"dtlb.replacements",20619,20692,20832,20832," total number of replacements",20619,20832,213,106.170852874035,0.498454708328803
"dcache2_power_cc1",26939675.6101,27138290.1968,27505186.524,27505186.524," total power usage of dcache2_cc1",26939675.6101,27505186.524,565510.913899999,281110.709412344,0.497091572421984
"avg_sim_slip",6.6335,7.6182,9.4191,9.4191," the average slip between issue and retirement",6.6335,9.4191,2.7856,1.38369223547001,0.496730411929212
"sim_slip",962147171,1104972538,1366175338,1366175338," total number of slip cycles",962147171,1366175338,404028167,200692636.132371,0.496729318707058
"avg_fetch_power_cc1",2.4587,2.359,2.1842,2.1842," average power of fetch unit per cycle_cc1",2.1842,2.4587,0.2745,0.135938304020611,0.495221508271806
"ruu_latency",3.8036,4.5123,5.6616,5.6616," avg RUU occupant latency (cycle's)",3.8036,5.6616,1.858,0.91507580150499,0.492505813511835
"RUU_count",568573016,718061268,951583081,951583081," cumulative RUU occupancy",568573016,951583081,383010065,188149991.487784,0.491240331994367
"itlb.misses",88327,89075,90242,90242," total number of misses",88327,90242,1915,940.643928380979,0.491197873828187
"itlb.replacements",88263,89011,90178,90178," total number of replacements",88263,90178,1915,940.643928380979,0.491197873828187
"ifq_occupancy",0.8355,1.3778,2.1974,2.1974," avg IFQ occupancy (insn's)",0.8355,2.1974,1.3619,0.6675278290079,0.490144525301344
"sim_total_stores",17616856,18091888,18760734,18760734," total number of stores executed",17616856,18760734,1143878,558068.029173266,0.487873732315217
"lsq_occupancy",1.0968,1.8841,2.9101,2.9101," avg LSQ occupancy (insn's)",1.0968,2.9101,1.8133,0.880402704732329,0.485525122556846
"dl1.writebacks",420933,421784,422893,422893," total number of writebacks",420933,422893,1960,951.628560241162,0.485524775633246
"avg_fetch_power_cc2",2.2059,2.0475,1.8462,1.8462," average power of fetch unit per cycle_cc2",1.8462,2.2059,0.3597,0.174380360132671,0.484793884160887
"avg_fetch_power_cc3",2.66,2.5117,2.328,2.328," average power of fetch unit per cycle_cc3",2.328,2.66,0.332,0.160709953539495,0.484066125118961
"ruu_occupancy",2.8384,5.2585,8.2144,8.2144," avg RUU occupancy (insn's)",2.8384,8.2144,5.376,2.60022956726901,0.483673654625932
"ul2.misses",413979,418829,424742,424742," total number of misses",413979,424742,10763,5205.23755461746,0.483623297836799
"ul2.replacements",409883,414733,420646,420646," total number of replacements",409883,420646,10763,5205.23755461746,0.483623297836799
"il1.hits",151955309,163686180,175991274,175991274," total number of hits",151955309,175991274,24035965,11532198.5403144,0.479789288273403
"il1.accesses",157086970,168887841,181247726,181247726," total number of accesses",157086970,181247726,24160756,11591226.3219793,0.479754289227512
"itlb.accesses",157086970,168887841,181247726,181247726," total number of accesses",157086970,181247726,24160756,11591226.3219793,0.479754289227512
"itlb.hits",156998643,168798766,181157484,181157484," total number of hits",156998643,181157484,24158841,11590290.1924727,0.479753568992514
"total_icache_access",157196698,169052010,181461929,181461929," total number accesses of icache",157196698,181461929,24265231,11641031.8584637,0.479741233803365
"mem.ptab_accesses",1040714701,1072205455,1104376165,1104376165," total page table accesses",1040714701,1104376165,63661464,30505656.2358296,0.47918559076539
"dl1.miss_rate",0.0255,0.0253,0.0251,0.0251," miss rate (i.e., misses/ref)",0.0251,0.0255,0.000399999999999998,0.000191485421551266,0.478713553878169
"dl1.repl_rate",0.0255,0.0253,0.0251,0.0251," replacement rate (i.e., repls/ref)",0.0251,0.0255,0.000399999999999998,0.000191485421551266,0.478713553878169
"dl1.wb_rate",0.0081,0.008,0.0079,0.0079," writeback rate (i.e., wrbks/ref)",0.0079,0.0081,0.000199999999999999,9.57427107756332e-05,0.478713553878169
"ul2.writebacks",95963,96351,96739,96739," total number of writebacks",95963,96739,776,371.481717809459,0.478713553878169
"total_lsq_access",51896166,53466939,55033429,55033429," total number accesses of load/store queue",51896166,55033429,3137263,1501664.29670735,0.478654259049162
"sim_total_refs",53375742,56298220,59192526,59192526," total number of loads and stores executed",53375742,59192526,5816784,2783355.95263865,0.478504265009436
"bpred_bimod.retstack_pops",1559928,1656561,1750268,1750268," total number of address popped off of ret-addr stack",1559928,1750268,190340,90993.8512515177,0.478059531635587
"avg_icache_power_cc3",1.9971,1.7444,1.5014,1.5014," avg power usage of icache_cc3",1.5014,1.9971,0.4957,0.236888206755845,0.477886235133841
"avg_icache_power_cc1",1.9438,1.663,1.393,1.393," avg power usage of icache_cc1",1.393,1.9438,0.5508,0.263218844310205,0.477884612037409
"avg_icache_power_cc2",1.9438,1.663,1.393,1.393," avg power usage of icache_cc2",1.393,1.9438,0.5508,0.263218844310205,0.477884612037409
"dl1.misses",1323879,1335325,1346214,1346214," total number of misses",1323879,1346214,22335,10668.7081692209,0.477667704017052
"dl1.replacements",1323367,1334813,1345702,1345702," total number of replacements",1323367,1345702,22335,10668.7081692209,0.477667704017052
"il1.miss_rate",0.0327,0.0308,0.029,0.029," miss rate (i.e., misses/ref)",0.029,0.0327,0.0037,0.00176705970470723,0.477583703974927
"il1.repl_rate",0.0327,0.0308,0.029,0.029," replacement rate (i.e., repls/ref)",0.029,0.0327,0.0037,0.00176705970470723,0.477583703974927
"lsq_power_cc2",12770046.1365,13174481.4788,13567139.3305,13564284.1248," total power usage of lsq_cc2",12770046.1365,13567139.3305,797093.194,380336.904556465,0.477154876518071
"sim_total_insn",149482208,159135159,168075939,168075939," total number of instructions executed",149482208,168075939,18593731,8871810.32834676,0.477139866568294
"total_rename_access",149482208,159135159,168075939,168075939," total number accesses of rename unit",149482208,168075939,18593731,8871810.32834676,0.477139866568294
"dcache_power_cc1",300258054.174,245366455.3772,232484894.3726,232484894.3726," total power usage of dcache_cc1",232484894.3726,300258054.174,67773159.8014,32315320.4445811,0.476815903807299
