"metric","C1","C2","C4","desc","min","max","range","sd","index"
"ul2.wb_rate",0.4198,0.4197,0.4198," writeback rate (i.e., wrbks/ref)",0.4197,0.4198,9.9999999999989e-05,5.77350269189562e-05,0.577350269189626
"dcache2_power_cc1",6491.8361,6491.8361,6491.594," total power usage of dcache2_cc1",6491.594,6491.8361,0.242100000000391,0.139776500171034,0.577350269189626
"avg_rename_power_cc1",0.2727,0.2727,0.2669," avg power usage of rename unit_cc1",0.2669,0.2727,0.00579999999999997,0.00334863156129981,0.577350269189626
"avg_dispatch_power_cc1",0.2727,0.2727,0.2669," average power of dispatch unit per cycle_cc1",0.2669,0.2727,0.00579999999999997,0.00334863156129981,0.577350269189626
"avg_rename_power_cc2",0.1982,0.1982,0.194," avg power usage of rename unit_cc2",0.194,0.1982,0.00419999999999998,0.00242487113059642,0.577350269189626
"avg_dispatch_power_cc2",0.1982,0.1982,0.194," average power of dispatch unit per cycle_cc2",0.194,0.1982,0.00419999999999998,0.00242487113059642,0.577350269189626
"avg_lsq_power_cc3",0.1934,0.1934,0.1913," avg power usage of instruction lsq_cc3",0.1913,0.1934,0.00209999999999999,0.00121243556529821,0.577350269189626
"bpred_bimod.retstack_pushes",3764,3764,3763," total number of address pushed onto ret-addr stack",3763,3764,1,0.577350269189626,0.577350269189626
"dl1.accesses",203536,203538,203538," total number of accesses",203536,203538,2,1.15470053837925,0.577350269189626
"dl1.hits",191883,191885,191885," total number of hits",191883,191885,2,1.15470053837925,0.577350269189626
"avg_dcache2_power_cc1",0.0151,0.0151,0.0148," avg power usage of dcache2_cc1",0.0148,0.0151,3e-04,0.000173205080756888,0.577350269189626
"dcache_power_cc2",619248.7415,619254.8264,619254.8264," total power usage of dcache_cc2",619248.7415,619254.8264,6.08490000001621,3.51311865300131,0.577350269189626
"avg_lsq_power_cc2",0.1156,0.1156,0.1132," avg power usage of instruction lsq_cc2",0.1132,0.1156,0.0024,0.0013856406460551,0.577350269189626
"avg_dcache2_power_cc2",0.0132,0.0132,0.013," avg power usage of dcache2_cc2",0.013,0.0132,0.000200000000000001,0.000115470053837925,0.577350269189626
"avg_dcache2_power_cc3",0.0602,0.0602,0.06," avg power usage of dcache2_cc3",0.06,0.0602,0.000199999999999999,0.000115470053837924,0.577350269189626
"total_dcache_access",203536,203538,203538," total number accesses of dcache",203536,203538,2,1.15470053837925,0.577350269189626
"avg_dcache2_access",0.0547,0.0547,0.0536," avg number accesses of dcache2",0.0536,0.0547,0.0011,0.000635085296108587,0.577350269189626
"max_resultbus_access",5,6,5," max number accesses of resultbus",5,6,1,0.577350269189626,0.577350269189626
"LSQ_fcount",24194,24195,24527," cumulative LSQ full count",24194,24527,333,191.969615651366,0.576485332286386
"avg_bpred_power_cc2",0.6566,0.6567,0.6428," avg power usage of bpred unit_cc2",0.6428,0.6567,0.0138999999999999,0.00799645754902335,0.575284715757079
"sim_CPI",0.604,0.6039,0.617," cycles per instruction",0.6039,0.617,0.0131,0.00753458691634784,0.575159306591438
"avg_dcache_power_cc3",1.8378,1.838,1.8119," avg power usage of dcache_cc3",1.8119,1.838,0.0261,0.0150114400819286,0.575150960993434
"icache_power_cc3",760482.7888,760464.4595,762758.3552," total power usage of icache_cc3",760464.4595,762758.3552,2293.89569999999,1319.12192300573,0.575057498475511
"avg_fetch_power_cc2",2.3527,2.3531,2.3031," average power of fetch unit per cycle_cc2",2.3031,2.3531,0.0499999999999998,0.028752738999963,0.575054779999263
"avg_alu_access",1.7649,1.7652,1.7277," avg number accesses of alu",1.7277,1.7652,0.0375000000000001,0.0215645542499723,0.575054779999261
"avg_alu_power_cc3",3.6483,3.6486,3.6113," avg power usage of alu_cc3",3.6113,3.6486,0.0373000000000001,0.0214490870046567,0.575042547041733
"dcache_power_cc3",787744.6641,787699.0273,793359.8156," total power usage of dcache_cc3",787699.0273,793359.8156,5660.78830000001,3255.16341788659,0.575037122989846
"avg_resultbus_access",1.711,1.7113,1.675," avg number accesses of resultbus",1.675,1.7113,0.0363,0.0208717512442057,0.574979373118613
"avg_icache_power_cc1",1.6961,1.6964,1.6603," avg power usage of icache_cc1",1.6603,1.6964,0.0360999999999998,0.020756284188971,0.574966321024132
"avg_icache_power_cc2",1.6961,1.6964,1.6603," avg power usage of icache_cc2",1.6603,1.6964,0.0360999999999998,0.020756284188971,0.574966321024132
"sim_IPC",1.6556,1.6559,1.6207," instructions per cycle",1.6207,1.6559,0.0351999999999999,0.0202366828638819,0.574905763178465
"fetch_stage_power_cc3",1185788.293,1185732.874,1192234.1819," total power usage of fetch stage_cc3",1185732.874,1192234.1819,6501.3078999999,3737.63649443745,0.574905319349282
"lsq_power_cc3",82885.5813,82877.8265,83771.4802," total power usage of lsq_cc3",82877.8265,83771.4802,893.65370000001,513.727219035543,0.574861625969363
"avg_bpred_power_cc3",0.9922,0.9923,0.9808," avg power usage of bpred unit_cc3",0.9808,0.9923,0.0115,0.00661084966803308,0.574856492872444
"bpred_power_cc3",425305.5042,425268.4146,429475.8267," total power usage of bpred unit_cc3",425268.4146,429475.8267,4207.41209999996,2418.51476363973,0.574822410108046
"avg_total_power_insn_nofp_nod2",28.1,28.0946,28.7051," average total power per insn",28.0946,28.7051,0.610500000000002,0.350923880635104,0.574813891294189
"avg_total_power_insn",35.8846,35.8777,36.6573," average total power per insn",35.8777,36.6573,0.779600000000002,0.448123692001811,0.574812329402014
"dcache2_power_cc3",25816.2161,25812.197,26262.8219," total power usage of dcache2_cc3",25812.197,26262.8219,450.624899999999,259.01598865014,0.574792890162396
"rename_power",179157.1442,179122.4531,183012.0399," total power usage of rename unit",179122.4531,183012.0399,3889.58679999999,2235.70681608866,0.574792884449492
"dispatch_stage_power",179157.1442,179122.4531,183012.0399," total power usage of dispatch stage",179122.4531,183012.0399,3889.58679999999,2235.70681608866,0.574792884449492
"dcache2_power",207561.0427,207520.8516,212027.1005," total power usage of dcache2",207520.8516,212027.1005,4506.24890000001,2590.1598002894,0.574792883786201
"lsq_power",412858.433,412778.4891,421741.842," total power usage of load/store queue",412778.4891,421741.842,8963.3529,5152.07145554689,0.57479288309031
"fetch_stage_power",3000516.2042,2999935.1986,3065077.8326," total power usage of fetch stage",2999935.1986,3065077.8326,65142.6340000001,37443.5223450485,0.574792882109256
"window_power",944861.6799,944678.7214,965192.1179," total power usage of instruction window",944678.7214,965192.1179,20513.3964999999,11790.954294506,0.574792882032287
"dcache_power",2608240.3094,2607735.2622,2664361.3999," total power usage of dcache",2607735.2622,2664361.3999,56626.1376999998,32548.3008834633,0.574792881970889
"falu_power",6121441.3867,6120256.06,6253155.4642," total power usage of falu",6120256.06,6253155.4642,132899.404200001,76389.6315475002,0.574792881934529
"clock_power",11186446.7642,11184280.674,11427143.7542," total power usage of clock",11184280.674,11427143.7542,242863.0802,139595.969775901,0.574792881902605
"issue_stage_power",13277306.9111,13274735.9567,13562992.6053," total power usage of issue stage",13274735.9567,13562992.6053,288256.648599999,165687.869772838,0.574792881890318
"total_power",29174735.0394,29169085.7828,29802483.1579," total power per cycle",29169085.7828,29802483.1579,633397.375100002,364072.302609431,0.574792881880747
"sim_cycle",428641,428558,437864," total simulation time in cycles",428558,437864,9306,5349.02255868615,0.574792881870422
"bpred_power",1938797.4215,1938422.002,1980514.2163," total power usage of bpred unit",1938422.002,1980514.2163,42092.2142999999,24194.3051593531,0.574792881812188
"alu_power",8118964.3655,8117392.2479,8293658.8262," total power usage of alu",8117392.2479,8293658.8262,176266.5783,101316.774506661,0.574792881803285
"regfile_power",1531308.0157,1531011.5005,1564256.9259," total power usage of arch. regfile",1531011.5005,1564256.9259,33245.4253999998,19109.2338702979,0.57479288173879
"icache_power",1061718.7827,1061513.1965,1084563.6163," total power usage of icache",1061513.1965,1084563.6163,23050.4198,13249.2172149499,0.574792881427258
"resultbus_power",984821.0806,984630.3845,1006011.3187," total power usage of resultbus",984630.3845,1006011.3187,21380.9341999999,12289.6087746381,0.574792881343705
"alu_power_cc3",1563795.0615,1563637.6167,1581265.4847," total power usage of alu_cc3",1563637.6167,1581265.4847,17627.868,10132.3097554109,0.574789291331819
"avg_alu_power_cc1",3.1786,3.1792,3.1121," avg power usage of alu_cc1",3.1121,3.1792,0.0670999999999999,0.0385681647649111,0.574786360132804
"avg_regfile_access",2.6266,2.6271,2.5712," avg number accesses of arch. regfile",2.5712,2.6271,0.0558999999999998,0.0321305150907979,0.57478560090873
"avg_alu_power_cc2",2.072,2.0724,2.0284," avg power usage of alu_cc2",2.0284,2.0724,0.044,0.025288732668918,0.574743924293591
"avg_fetch_power_cc3",2.7664,2.7668,2.7228," average power of fetch unit per cycle_cc3",2.7228,2.7668,0.044,0.025288732668918,0.574743924293591
"avg_icache_power_cc3",1.7742,1.7745,1.742," avg power usage of icache_cc3",1.742,1.7745,0.0325,0.0186778835346335,0.574704108757954
"rename_power_cc3",91180.5711,91176.9557,91564.8486," total power usage of rename unit_cc3",91176.9557,91564.8486,387.892899999992,222.913723965802,0.574678536177916
"dispatch_stage_power_cc3",91180.5711,91176.9557,91564.8486," total power usage of dispatch stage_cc3",91176.9557,91564.8486,387.892899999992,222.913723965802,0.574678536177916
"avg_icache_access",2.0067,2.0071,1.9644," avg number accesses of icache",1.9644,2.0071,0.0427,0.0245382015097548,0.574665140743673
"avg_window_access",6.4708,6.4721,6.3346," avg number accesses of instruction window",6.3346,6.4721,0.1375,0.0790130579925453,0.574640421763965
"avg_lsq_access",0.4861,0.4862,0.4759," avg number accesses of lsq",0.4759,0.4862,0.0103,0.0059180514811324,0.574568104964309
"avg_dcache_power_cc2",1.4447,1.445,1.4143," avg power usage of dcache_cc2",1.4143,1.445,0.0307000000000002,0.0176386885377949,0.574550115237616
"avg_fetch_power_cc1",2.8635,2.8641,2.8032," average power of fetch unit per cycle_cc1",2.8032,2.8641,0.0609000000000002,0.0349887124655939,0.574527298285613
"sim_exec_BW",1.8967,1.8971,1.8567," total instructions (mis-spec + committed) per cycle",1.8567,1.8971,0.0404,0.0232103425222464,0.574513428768476
"ifq_rate",1.8967,1.8971,1.8567," avg IFQ dispatch rate (insn/cycle)",1.8567,1.8971,0.0404,0.0232103425222464,0.574513428768476
"ruu_rate",1.8967,1.8971,1.8567," avg RUU dispatch rate (insn/cycle)",1.8567,1.8971,0.0404,0.0232103425222464,0.574513428768476
"lsq_rate",1.8967,1.8971,1.8567," avg LSQ dispatch rate (insn/cycle)",1.8567,1.8971,0.0404,0.0232103425222464,0.574513428768476
"avg_rename_access",1.8967,1.8971,1.8567," avg number accesses of rename unit",1.8567,1.8971,0.0404,0.0232103425222464,0.574513428768476
"avg_dcache_access",0.4748,0.4749,0.4648," avg number accesses of dcache",0.4648,0.4749,0.0101,0.00580258563056161,0.574513428768476
"avg_dcache_power_cc1",2.1889,2.1894,2.1429," avg power usage of dcache_cc1",2.1429,2.1894,0.0465,0.0267036202289751,0.574271402773659
"avg_bpred_power_cc1",1.1674,1.1677,1.1429," avg power usage of bpred unit_cc1",1.1429,1.1677,0.0247999999999999,0.0142324746032913,0.573890104971426
"avg_bpred_access",0.2903,0.2904,0.2842," avg number accesses of bpred unit",0.2842,0.2904,0.00619999999999998,0.00355105618091293,0.572750996921443
"avg_sim_slip",9.7253,9.729,9.9499," the average slip between issue and retirement",9.7253,9.9499,0.224599999999999,0.12861807804504,0.572653953895995
"sim_slip",6901657,6904294,7060995," total number of slip cycles",6901657,7060995,159338,91242.1278924014,0.572632566571699
"lsq_latency",1.7094,1.7102,1.7577," avg LSQ occupant latency (cycle's)",1.7094,1.7577,0.0483,0.0276579705208704,0.572628789251975
"RUU_count",4999536,5001711,5129875," cumulative RUU occupancy",4999536,5129875,130339,74631.3120635925,0.572593867250727
"LSQ_count",1389739,1390399,1429018," cumulative LSQ occupancy",1389739,1429018,39279,22489.6368801277,0.572561340159569
"ruu_latency",6.1494,6.1521,6.3098," avg RUU occupant latency (cycle's)",6.1494,6.3098,0.1604,0.0918374832698139,0.572552888215797
"IFQ_count",1304514,1305042,1335327," cumulative IFQ occupancy",1304514,1335327,30813,17639.4490560221,0.572467758933636
"IFQ_fcount",298144,298276,305824," cumulative IFQ full count",298144,305824,7680,4396.44037830607,0.572453174258603
"RUU_fcount",211733,211864,219258," cumulative RUU full count",211733,219258,7525,4307.24238927878,0.572391015186549
"ifq_latency",1.6045,1.6052,1.6425," avg IFQ occupant latency (cycle's)",1.6045,1.6425,0.038,0.0217400551977221,0.572106715729527
"avg_lsq_power_cc1",0.1823,0.1824,0.1785," avg power usage of lsq_cc1",0.1785,0.1824,0.00390000000000001,0.00222336081942031,0.570092517800077
"avg_rename_power_cc3",0.2127,0.2128,0.2091," avg power usage of rename unit_cc3",0.2091,0.2128,0.00369999999999998,0.00210792156716831,0.569708531667113
"avg_dispatch_power_cc3",0.2127,0.2128,0.2091," average power of dispatch unit per cycle_cc3",0.2091,0.2128,0.00369999999999998,0.00210792156716831,0.569708531667113
"mem.ptab_accesses",4565297,4565299,4565231," total page table accesses",4565231,4565299,68,38.6953916291505,0.569049876899273
"window_power_cc3",594775.8941,605466.3885,605094.2221," total power usage of instruction window_cc3",594775.8941,605466.3885,10690.4944,6067.57874638233,0.567567646486242
"total_resultbus_access",733391,733392,733413," total number accesses of resultbus",733391,733413,22,12.4230967690561,0.56468621677528
"alu_power_cc2",888144.7996,888145.9646,888165.8453," total power usage of alu_cc2",888144.7996,888165.8453,21.045700000017,11.828785130522,0.562052349435394
"ruu_full",0.494,0.4944,0.5007," fraction of time (cycle's) RUU was full",0.494,0.5007,0.00670000000000004,0.00375810235801707,0.560910799704037
"total_alu_access",756488,756489,756504," total number accesses of alu",756488,756504,16,8.9628864398325,0.560180402489531
"alu_power_cc1",1362461.7467,1362475.727,1362662.4329," total power usage of alu_cc1",1362461.7467,1362662.4329,200.68619999988,112.048719130912,0.558327972381656
"il1.accesses",859571,859573,859545," total number of accesses",859545,859573,28,15.6204993518133,0.557874976850475
"il1.hits",857688,857690,857662," total number of hits",857662,857690,28,15.6204993518133,0.557874976850475
"itlb.accesses",859571,859573,859545," total number of accesses",859545,859573,28,15.6204993518133,0.557874976850475
"itlb.hits",859521,859523,859495," total number of hits",859495,859523,28,15.6204993518133,0.557874976850475
"total_power_cycle_cc1",9481443.9255,9603055.5661,9612864.9509," total power per cycle_cc1",9481443.9255,9612864.9509,131421.0254,73208.7211070344,0.55705486153538
"avg_total_power_insn_cc1",11.6621,11.8117,11.8239," average total power per insn_cc1",11.6621,11.8239,0.161799999999999,0.0901001664815329,0.556861350318499
"total_regfile_access",1125860,1125861,1125848," total number accesses of arch. regfile",1125848,1125861,13,7.23417813807024,0.556475241390018
"total_icache_access",860147,860149,860123," total number accesses of icache",860123,860149,26,14.4683562761405,0.556475241390018
"sim_total_insn",813015,813014,813003," total number of instructions executed",813003,813015,12,6.65832811847939,0.554860676539949
"total_rename_access",813015,813014,813003," total number accesses of rename unit",813003,813015,12,6.65832811847939,0.554860676539949
"rename_power_cc2",84953.0526,84952.9481,84951.7987," total power usage of rename unit_cc2",84951.7987,84953.0526,1.25389999999607,0.695737716381972,0.554859012986806
"dispatch_stage_power_cc2",84953.0526,84952.9481,84951.7987," total power usage of dispatch stage_cc2",84951.7987,84953.0526,1.25389999999607,0.695737716381972,0.554859012986806
"avg_clock_power_cc3",7.2471,7.3077,7.2405," avg power usage of clock_cc3",7.2405,7.3077,0.0671999999999997,0.0370399784017215,0.551190154787524
"lsq_occupancy",3.2422,3.2444,3.2636," avg LSQ occupancy (insn's)",3.2422,3.2636,0.0213999999999999,0.0117717175184138,0.550080257869807
"total_power_cycle_cc2",6215542.1627,6284832.5527,6293122.2392," total power per cycle_cc2",6215542.1627,6293122.2392,77580.0764999995,42599.9712800492,0.549109683850975
"avg_total_power_insn_cc2",7.6451,7.7303,7.7406," average total power per insn_cc2",7.6451,7.7406,0.0954999999999995,0.0524172045547385,0.548871251882082
"avg_clock_power_cc1",8.509,8.6168,8.4946," avg power usage of clock_cc1",8.4946,8.6168,0.122199999999999,0.0667845291466016,0.546518241788887
"avg_regfile_power_cc3",0.7833,0.7976,0.7851," avg power usage of arch. regfile_cc3",0.7833,0.7976,0.0143,0.00778866698051297,0.5446620266093
"avg_regfile_power_cc1",2.1425,2.1924,2.1347," avg power usage of arch. regfile_cc1",2.1347,2.1924,0.0577000000000001,0.0313053243607751,0.542553281815858
"lsq_power_cc2",49553.7613,49554.0719,49551.8161," total power usage of lsq_cc2",49551.8161,49554.0719,2.25580000000627,1.22262756935207,0.541992893584835
"ruu_occupancy",11.6637,11.671,11.7157," avg RUU occupancy (insn's)",11.6637,11.7157,0.0519999999999996,0.0281525013690317,0.541394257096768
"ifq_full",0.6956,0.696,0.6984," fraction of time (cycle's) IFQ was full",0.6956,0.6984,0.00280000000000002,0.0015143755588801,0.540848413885744
"resultbus_power_cc3",361542.4023,388615.0107,384634.0061," total power usage of resultbus_cc3",361542.4023,388615.0107,27072.6084,14617.3224250154,0.539930331390432
"total_window_access",2773647,2773651,2773672," total number accesses of instruction window",2773647,2773672,25,13.4288247189891,0.537152988759565
"sim_total_refs",222623,222622,222617," total number of loads and stores executed",222617,222623,6,3.21455025366432,0.53575837561072
"sim_total_loads",125460,125459,125454," total number of loads executed",125454,125460,6,3.21455025366432,0.53575837561072
"total_lsq_access",208367,208368,208373," total number accesses of load/store queue",208367,208373,6,3.21455025366432,0.53575837561072
"avg_window_power_cc3",1.3876,1.4128,1.3819," avg power usage of instruction window_cc3",1.3819,1.4128,0.0309000000000001,0.0164435397649047,0.532153390449988
"avg_regfile_power_cc2",0.6751,0.6894,0.6717," avg power usage of arch. regfile_cc2",0.6717,0.6894,0.0177,0.00939272768333745,0.530662580979515
"bpred_bimod.lookups",152139,152140,152135," total number of bpred lookups",152135,152140,5,2.64575131106459,0.529150262212918
"lsq_full",0.0564,0.0565,0.056," fraction of time (cycle's) LSQ was full",0.056,0.0565,5e-04,0.000264575131106459,0.529150262212917
"icache_power_cc1",727012.1228,727014.5998,727002.2151," total power usage of icache_cc1",727002.2151,727014.5998,12.3846999999369,6.55335591354853,0.529149346660149
"icache_power_cc2",727012.1228,727014.5998,727002.2151," total power usage of icache_cc2",727002.2151,727014.5998,12.3846999999369,6.55335591354853,0.529149346660149
"fetch_stage_power_cc2",1008452.355,1008454.832,1008442.4473," total power usage of fetch stage_cc2",1008442.4473,1008454.832,12.3847000000533,6.55335591359253,0.529149346658728
"issue_stage_power_cc1",3571484.1671,3626358.513,3614343.3097," total power usage of issue stage_cc1",3571484.1671,3626358.513,54874.3458999996,28845.7537392139,0.52566920418115
"window_power_cc1",674058.2697,687298.0545,684397.9397," total power usage of instruction window_cc1",674058.2697,687298.0545,13239.7848,6959.54192832152,0.525653704607156
"avg_clock_power_cc2",5.5316,5.592,5.5146," avg power usage of clock_cc2",5.5146,5.592,0.0773999999999999,0.0406774302695404,0.525548194696905
"bpred_power_cc1",500413.8273,500409.3041,500429.6582," total power usage of bpred unit_cc1",500409.3041,500429.6582,20.3540999999968,10.6877353374469,0.525090047580022
"resultbus_power_cc1",512063.067,553670.8387,544344.4151," total power usage of resultbus_cc1",512063.067,553670.8387,41607.7717,21833.7440603581,0.524751582896185
"issue_stage_power_cc2",2461669.5953,2499478.6945,2490974.0336," total power usage of issue stage_cc2",2461669.5953,2499478.6945,37809.0992000001,19835.1848299007,0.524614054542212
"window_power_cc2",570426.9967,581136.6276,578724.0199," total power usage of instruction window_cc2",570426.9967,581136.6276,10709.6309,5617.7911422799,0.524555065878126
"resultbus_power_cc2",328617.6937,355709.6015,349599.9234," total power usage of resultbus_cc2",328617.6937,355709.6015,27091.9078,14210.0527673949,0.524512812914375
"regfile_power_cc2",289394.2116,295467.7316,294093.7482," total power usage of arch. regfile_cc2",289394.2116,295467.7316,6073.52000000002,3184.88931855346,0.524389368694504
"regfile_power_cc1",918353.9582,939582.606,934708.3616," total power usage of arch. regfile_cc1",918353.9582,939582.606,21228.6478,11119.6541946929,0.523804167813877
"avg_window_power_cc1",1.5725,1.6037,1.563," avg power usage of instruction window_cc1",1.563,1.6037,0.0407,0.0212923303875675,0.523153080775616
"regfile_power_cc3",335771.3299,341815.5557,343775.7606," total power usage of arch. regfile_cc3",335771.3299,343775.7606,8004.43069999997,4172.24918564059,0.521242464581599
"fetch_stage_power_cc1",1227425.9501,1227423.9039,1227431.8733," total power usage of fetch stage_cc1",1227423.9039,1227431.8733,7.96940000005998,4.1388921432714,0.519348024097203
"avg_window_power_cc2",1.3308,1.356,1.3217," avg power usage of instruction window_cc2",1.3217,1.356,0.0343,0.0177686052725962,0.518035139142747
"max_cycle_power_cc1",50.3092,50.5371,50.4747," maximum cycle power usage of cc1",50.3092,50.5371,0.227900000000005,0.117772676514266,0.516773481852844
"ul2.repl_rate",0.9308,0.9569,0.8635," replacement rate (i.e., repls/ref)",0.8635,0.9569,0.0933999999999999,0.0481906975808955,0.515960359538496
"ul2.hits",1111,498,2690," total number of hits",498,2690,2192,1130.91953736771,0.515930445879431
"ul2.misses",22339,22952,20760," total number of misses",20760,22952,2192,1130.91953736771,0.515930445879431
"ul2.replacements",21827,22440,20248," total number of replacements",20248,22440,2192,1130.91953736771,0.515930445879431
"ul2.miss_rate",0.9526,0.9788,0.8853," miss rate (i.e., misses/ref)",0.8853,0.9788,0.0935,0.0482320432907419,0.515850730382266
"avg_issue_power_cc3",7.9707,8.0598,7.9349," average power of issue unit per cycle_cc3",7.9349,8.0598,0.124899999999999,0.0643175196453757,0.514952118858095
"ifq_occupancy",3.0434,3.0452,3.0496," avg IFQ occupancy (insn's)",3.0434,3.0496,0.00619999999999976,0.00318956632370808,0.514446181243258
"dcache_power_cc1",938256.0377,938268.2075,938292.5472," total power usage of dcache_cc1",938256.0377,938292.5472,36.5095000000438,18.5897311186604,0.50917517683447
"sim_total_branches",143323,143324,143321," total number of branches executed",143321,143324,3,1.52752523165195,0.509175077217316
"ul2.writebacks",9844,9842,9845," total number of writebacks",9842,9845,3,1.52752523165195,0.509175077217316
"avg_total_power_cycle_cc3",18.9802,19.1446,18.8924," average total power per cycle_cc3",18.8924,19.1446,0.252200000000002,0.128024112312226,0.507629311309379
"issue_stage_power_cc3",3416559.8194,3454108.0666,3474387.8305," total power usage of issue stage_cc3",3416559.8194,3474387.8305,57828.0111000002,29340.5821329827,0.507376642821848
"max_cycle_power_cc2",31.5174,31.812,31.6222," maximum cycle power usage of cc2",31.5174,31.812,0.294600000000003,0.149329746980746,0.506889840396283
"avg_total_power_cycle_cc1",22.1198,22.4078,21.954," average total power per cycle_cc1",21.954,22.4078,0.453800000000001,0.229625811557267,0.506006636309534
"clock_power_cc1",3647297.8915,3692808.1667,3719499.8656," total power usage of clock_cc1",3647297.8915,3719499.8656,72201.9741000002,36507.4353223311,0.505629323538551
"avg_issue_power_cc1",8.3321,8.4618,8.2545," average power of issue unit per cycle_cc1",8.2545,8.4618,0.2073,0.104735492233213,0.505236334940726
"avg_issue_power_cc2",5.743,5.8323,5.6889," average power of issue unit per cycle_cc2",5.6889,5.8323,0.1434,0.072416457613814,0.504996217669554
"clock_power_cc3",3106400.3487,3131758.9571,3170345.0227," total power usage of clock_cc3",3106400.3487,3170345.0227,63944.6740000001,32199.5466102613,0.503553221809548
"clock_power_cc2",2371072.9482,2396478.3465,2414660.2115," total power usage of clock_cc2",2371072.9482,2414660.2115,43587.2633000002,21893.1648376208,0.502283538356966
"max_cycle_power_cc3",34.6827,34.9775,34.8069," maximum cycle power usage of cc3",34.6827,34.9775,0.294800000000002,0.148007342160224,0.502060183718531
"avg_total_power_cycle_cc2",14.5006,14.6651,14.3723," average total power per cycle_cc2",14.3723,14.6651,0.292800000000002,0.14677248833938,0.501272159629029
"avg_resultbus_power_cc3",0.8435,0.9068,0.8784," avg power usage of resultbus_cc3",0.8435,0.9068,0.0633,0.0317055725911603,0.500877924030968
"lsq_power_cc1",78153.2099,78153.8491,78154.3809," total power usage of lsq_cc1",78153.2099,78154.3809,1.1710000000021,0.586320287898492,0.500700502047347
"total_power_cycle_cc3",8135700.3622,8204592.4092,8272307.6444," total power per cycle_cc3",8135700.3622,8272307.6444,136607.282199999,68304.485904553,0.500006184183886
"avg_total_power_insn_cc3",10.0068,10.0916,10.175," average total power per insn_cc3",10.0068,10.175,0.168200000000001,0.0841009710605851,0.500005773249613
"avg_resultbus_power_cc2",0.7667,0.83,0.7984," avg power usage of resultbus_cc2",0.7667,0.83,0.0632999999999999,0.0316500131648208,0.500000207975053
"avg_resultbus_power_cc1",1.1946,1.2919,1.2432," avg power usage of resultbus_cc1",1.1946,1.2919,0.0972999999999999,0.0486500085645761,0.500000088022366
"rename_power_cc1",116881.9586,116882.3765,116881.5406," total power usage of rename unit_cc1",116881.5406,116882.3765,0.835900000005495,0.417950000999677,0.500000001192642
"dispatch_stage_power_cc1",116881.9586,116882.3765,116881.5406," total power usage of dispatch stage_cc1",116881.5406,116882.3765,0.835900000005495,0.417950000999677,0.500000001192642
"dtlb.accesses",204662,204664,204666," total number of accesses",204662,204666,4,2,0.5
"dtlb.hits",204551,204553,204555," total number of hits",204551,204555,4,2,0.5
