"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"dtlb.miss_rate",6e-04,6e-04,5e-04,5e-04," miss rate (i.e., misses/ref)",5e-04,6e-04,9.99999999999999e-05,5.77350269189625e-05,0.577350269189626
"il1.miss_rate",0.0021,0.0021,0.0022,0.0022," miss rate (i.e., misses/ref)",0.0021,0.0022,1e-04,5.77350269189627e-05,0.577350269189626
"dl1.writebacks",9911,9911,9913,9913," total number of writebacks",9911,9913,2,1.15470053837925,0.577350269189626
"itlb.misses",59,59,50,50," total number of misses",50,59,9,5.19615242270663,0.577350269189626
"itlb.replacements",17,17,9,9," total number of replacements",9,17,8,4.61880215351701,0.577350269189626
"max_dcache_access",3,3,4,4," max number accesses of dcache",3,4,1,0.577350269189626,0.577350269189626
"bpred_bimod.dir_hits",112280,112279,112272,112272," total number of direction-predicted hits (includes addr-hits)",112272,112280,8,4.3493294502333,0.543666181279162
"bpred_bimod.misses",12165,12166,12173,12173," total number of misses",12165,12173,8,4.3493294502333,0.543666181279162
"dl1.misses",11646,11647,11652,11652," total number of misses",11646,11652,6,3.20156211871642,0.533593686452737
"dl1.replacements",11134,11135,11140,11140," total number of replacements",11134,11140,6,3.20156211871642,0.533593686452737
"bpred_bimod.retstack_pushes",3815,3830,3764,3764," total number of address pushed onto ret-addr stack",3764,3830,66,34.3256463886698,0.520085551343482
"total_lsq_access",196895,200074,208340,208399," total number accesses of load/store queue",196895,208399,11504,5852.8621488408,0.508767572048053
"clock_power_cc2",2503513.3591,2241255.892,2248730.679,2601090.1948," total power usage of clock_cc2",2241255.892,2601090.1948,359834.3028,181867.226816923,0.505419370531795
"lsq_power_cc2",46688.1894,47504.3534,49555.9162,49650.8461," total power usage of lsq_cc2",46688.1894,49650.8461,2962.6567,1485.84061268922,0.501523046085368
"bpred_bimod.bpred_addr_rate",0.8949,0.895,0.8949,0.8949," branch address-prediction rate (i.e., addr-hits/updates)",0.8949,0.895,9.9999999999989e-05,4.99999999999945e-05,0.5
"ul2.writebacks",954,946,946,946," total number of writebacks",946,954,8,4,0.5
"ul2.miss_rate",0.233,0.2329,0.2329,0.2329," miss rate (i.e., misses/ref)",0.2329,0.233,0.000100000000000017,5.00000000000084e-05,0.5
"ul2.wb_rate",0.0406,0.0403,0.0403,0.0403," writeback rate (i.e., wrbks/ref)",0.0403,0.0406,0.000299999999999995,0.000149999999999997,0.5
"avg_lsq_power",0.9632,0.9632,0.9632,0.9633," avg power usage of lsq",0.9632,0.9633,0.0001000000000001,5.000000000005e-05,0.5
"avg_icache_power",2.4769,2.4769,2.4769,2.477," avg power usage of icache",2.4769,2.477,9.99999999997669e-05,4.99999999998835e-05,0.5
"avg_dcache_power",6.0849,6.0849,6.0849,6.0851," avg power usage of dcache",6.0849,6.0851,0.000199999999999534,9.99999999997669e-05,0.5
"avg_fetch_power",7.0001,7.0001,7.0001,7.0002," average power of fetch unit per cycle",7.0001,7.0002,0.000100000000000655,5.00000000003276e-05,0.5
"max_resultbus_access",6,6,6,7," max number accesses of resultbus",6,7,1,0.5,0.5
"mem.ptab_miss_rate",5e-04,4e-04,4e-04,4e-04," first level page table miss rate",4e-04,5e-04,1e-04,5e-05,0.5
"bpred_power_cc1",556127.4366,537035.3201,500721.3999,501155.62," total power usage of bpred unit_cc1",500721.3999,556127.4366,55406.0367,27481.0247598358,0.495993332073792
"sim_total_refs",232076,228673,222566,222561," total number of loads and stores executed",222561,232076,9515,4718.8253481843,0.495935401806022
"mem.ptab_misses",2115,1729,1718,1718," total first level page table misses",1718,2115,397,196.73501637143,0.495554197409142
"clock_power_cc1",4851997.8081,3728325.716,3463724.4356,5113509.073," total power usage of clock_cc1",3463724.4356,5113509.073,1649784.6374,814906.241484599,0.493947041941706
"dtlb.accesses",196869,199175,204633,205318," total number of accesses",196869,205318,8449,4132.98087542958,0.489168052483084
"dtlb.hits",196758,199064,204522,205207," total number of hits",196758,205207,8449,4132.98087542958,0.489168052483084
"sim_total_loads",134154,131045,125442,125701," total number of loads executed",125442,134154,8712,4252.81338253475,0.488155806076073
"issue_stage_power_cc1",5334716.6558,4170954.0821,3659663.2609,5228496.4171," total power usage of issue stage_cc1",3659663.2609,5334716.6558,1675053.3949,817133.277020617,0.487825211726698
