"","metric","DVFS","Baseline","diff"
"57","avg_resultbus_power_cc2",0.8223,0.849,3.14487632508833
"123","resultbus_power_cc2",30157566.1995,31136196.3514,3.14306262992203
"56","avg_resultbus_power_cc1",1.2511,1.2908,3.07561202355127
"122","resultbus_power_cc1",45883724.6017,47339605.0083,3.07539618538165
"58","avg_resultbus_power_cc3",0.8988,0.9255,2.88492706645056
"124","resultbus_power_cc3",32963464.1122,33942094.2642,2.88323444152414
"48","avg_regfile_power_cc1",2.1352,2.1585,1.07945332406763
"114","regfile_power_cc1",78308262.2839,79160265.8665,1.07630207310935
"49","avg_regfile_power_cc2",0.5543,0.5597,0.964802572806854
"115","regfile_power_cc2",20328493.4996,20526208.4692,0.96323181115828
"131","window_power_cc1",60296823.004,60800175.6211,0.827880202578424
"70","avg_window_power_cc1",1.6441,1.6578,0.826396429002295
"50","avg_regfile_power_cc3",0.6594,0.6648,0.812274368231041
"116","regfile_power_cc3",24183445.9789,24381160.9486,0.81093336825437
"132","window_power_cc2",46295743.3514,46656702.3866,0.773648836578876
"71","avg_window_power_cc2",1.2624,1.2722,0.770319132211919
"133","window_power_cc3",47946617.8589,48307576.8944,0.747209979687143
"72","avg_window_power_cc3",1.3074,1.3172,0.74400242939569
"40","avg_issue_power_cc2",5.772,5.8086,0.630100196260716
"104","issue_stage_power_cc2",211683299.2732,213023509.6954,0.629137330483545
"103","issue_stage_power_cc1",316152749.0673,318112807.1073,0.616151879524558
"39","avg_issue_power_cc1",8.6206,8.674,0.615632925985703
"14","avg_clock_power_cc1",8.4511,8.5015,0.592836558254423
"78","clock_power_cc1",309936542.148,311784472.992,0.592694955674524
"126","total_power_cycle_cc1",798753747.0902,803413739.5568,0.580023994756516
"65","avg_total_power_insn_cc1",12.8607,12.9357,0.579790811475228
"60","avg_total_power_cycle_cc1",21.7798,21.9068,0.579728668723861
"15","avg_clock_power_cc2",5.4175,5.4452,0.508704914420029
"79","clock_power_cc2",198683489.2655,199696648.8916,0.507349337970098
"127","total_power_cycle_cc2",510506922.1058,513058007.1236,0.497231303747191
"61","avg_total_power_cycle_cc2",13.9201,13.9896,0.49679762108995
"66","avg_total_power_insn_cc2",8.2197,8.2607,0.496325977217432
"46","avg_power",54.501,54.7672,0.486057348193818
"129","tot_power",1998777579.0313,2008539741.5341,0.486032827776848
"41","avg_issue_power_cc3",8.3457,8.3823,0.436634336637915
"105","issue_stage_power_cc3",306071610.9125,307411821.3351,0.435965805341965
"111","max_cycle_power_cc2",33.2409,33.3758,0.404185068223068
"80","clock_power_cc3",261677212.079,262690371.7051,0.385685862608391
"16","avg_clock_power_cc3",7.1352,7.1628,0.385324174903664
"112","max_cycle_power_cc3",36.4378,36.5728,0.369126782745642
"67","avg_total_power_insn_cc3",11.1019,11.143,0.368841425109936
"128","total_power_cycle_cc3",689516909.8354,692067994.8537,0.368617684572936
"62","avg_total_power_cycle_cc3",18.8012,18.8707,0.368295823684325
"110","max_cycle_power_cc1",50.5725,50.6991,0.249708574708433
"108","lsq_power_cc2",5371478.1521,5372099.3872,0.011564102880903
"107","lsq_power_cc1",8191961.7665,8192786.7828,0.0100700326015111
"109","lsq_power_cc3",8077663.8982,8078285.1333,0.00769018535183084
"1","alu_power",694650902.2195,694650902.2195,0
"2","alu_power_cc1",108439265.9813,108439265.9813,0
"3","alu_power_cc2",65386996.9428,65386996.9428,0
"4","alu_power_cc3",124008160.4439,124008160.4439,0
"5","avg_alu_power",18.9412,18.9412,0
