PBFE,10.0,500K,1074014,23.461
PBFE,20.0,500K,3881640,25.567
PBFE,30.0,500K,7844762,28.734
PBFE,40.0,500K,12632868,32.735
PBFE,50.0,500K,18071546,36.69
PBFE,60.0,500K,24019264,67.315
PBFE,70.0,500K,30443890,105.43
PBFE,80.0,500K,37377300,143.059
BFE,10.0,500K,1074014,52.661
BFE,20.0,500K,3881640,86.547
BFE,30.0,500K,7844762,141.678
BFE,40.0,500K,12632868,203.607
BFE,50.0,500K,18071546,288.526
BFE,60.0,500K,24019264,396.862
BFE,70.0,500K,30443890,470.288
BFE,80.0,500K,37377300,588.839
BFE,90.0,500K,44720994,743.558
PBFE,10.0,1M,4262474,42.016
PBFE,20.0,1M,15412586,52.61
PBFE,30.0,1M,31146190,110.663
