"PBFE-SQL" 10 "10K" 3268 10.904
"PBFE-SQL" 20 "10K" 10840 10.949
"PBFE-SQL" 30 "10K" 20932 10.775
"PBFE-SQL" 40 "10K" 31782 11.416
"PBFE-SQL" 50 "10K" 43322 11.307
"PBFE-SQL" 60 "10K" 55062 11.053
"PBFE-SQL" 70 "10K" 66414 12.284
"PBFE-SQL" 80 "10K" 78006 12.626
"PBFE-SQL" 90 "10K" 90216 12.009
"PBFE-SQL" 100 "10K" 103014 11.911
"PBFE-SQL" 110 "10K" 116104 11.83
"PBFE-SQL" 120 "10K" 129568 12.188
"PBFE-SQL" 130 "10K" 143708 13.1
"PBFE-SQL" 140 "10K" 158364 13.882
"PBFE-SQL" 150 "10K" 173598 13.37
"PBFE-SQL" 160 "10K" 190078 14.619
"PBFE-SQL" 170 "10K" 206772 12.452
"PBFE-SQL" 180 "10K" 223578 13.945
"PBFE-SQL" 190 "10K" 241124 13.625
"PBFE-SQL" 200 "10K" 258756 12.72
"PBFE-SQL" 10 "20K" 11006 16.539
"PBFE-SQL" 20 "20K" 36910 18.166
"PBFE-SQL" 30 "20K" 70662 17.319
"PBFE-SQL" 40 "20K" 108002 18.109
"PBFE-SQL" 50 "20K" 147366 19.05
"PBFE-SQL" 60 "20K" 187790 18.219
"PBFE-SQL" 70 "20K" 228146 19.407
"PBFE-SQL" 80 "20K" 269452 17.092
"PBFE-SQL" 90 "20K" 312766 20.118
"PBFE-SQL" 100 "20K" 357672 20.484
"PBFE-SQL" 110 "20K" 403832 20.294
"PBFE-SQL" 120 "20K" 450790 17.608
"PBFE-SQL" 130 "20K" 500526 18.022
"PBFE-SQL" 140 "20K" 552160 22.907
"PBFE-SQL" 150 "20K" 604996 19.007
"PBFE-SQL" 160 "20K" 661268 19.228
"PBFE-SQL" 170 "20K" 718862 23.556
"PBFE-SQL" 180 "20K" 777042 18.815
"PBFE-SQL" 190 "20K" 837202 19.471
"PBFE-SQL" 200 "20K" 898572 18.401
"PBFE-SQL" 10 "30K" 25438 16.12
"PBFE-SQL" 20 "30K" 86522 15.122
"PBFE-SQL" 30 "30K" 165444 17.027
"PBFE-SQL" 40 "30K" 253196 16.588
"PBFE-SQL" 50 "30K" 344708 16.969
"PBFE-SQL" 60 "30K" 438408 18.109
"PBFE-SQL" 70 "30K" 532762 17.322
"PBFE-SQL" 80 "30K" 629702 19.657
"PBFE-SQL" 90 "30K" 731026 20.154
"PBFE-SQL" 100 "30K" 835972 20.497
"PBFE-SQL" 110 "30K" 944102 19.622
"PBFE-SQL" 120 "30K" 1054678 20.295
"PBFE-SQL" 130 "30K" 1169874 20.358
"PBFE-SQL" 140 "30K" 1290148 19.592
"PBFE-SQL" 150 "30K" 1414444 21.971
"PBFE-SQL" 160 "30K" 1544914 23.807
"PBFE-SQL" 170 "30K" 1678360 23.742
"PBFE-SQL" 180 "30K" 1814508 23.491
"PBFE-SQL" 190 "30K" 1954524 25.552
"PBFE-SQL" 200 "30K" 2098182 24.596
"PBFE-SQL" 10 "40K" 45526 17.401
"PBFE-SQL" 20 "40K" 153766 19.04
"PBFE-SQL" 30 "40K" 294528 21.404
"PBFE-SQL" 40 "40K" 450474 20.37
"PBFE-SQL" 50 "40K" 613174 22.232
"PBFE-SQL" 60 "40K" 779250 18.881
"PBFE-SQL" 70 "40K" 946810 22.311
"PBFE-SQL" 80 "40K" 1118342 20.796
"PBFE-SQL" 90 "40K" 1296248 23.065
"PBFE-SQL" 100 "40K" 1480116 22.374
"PBFE-SQL" 110 "40K" 1669788 24.231
"PBFE-SQL" 120 "40K" 1864230 27.871
"PBFE-SQL" 130 "40K" 2066934 28.833
"PBFE-SQL" 140 "40K" 2278258 29.643
"PBFE-SQL" 150 "40K" 2498138 29.683
"PBFE-SQL" 160 "40K" 2727688 29.783
"PBFE-SQL" 170 "40K" 2962432 31.599
"PBFE-SQL" 180 "40K" 3203072 30.052
"PBFE-SQL" 190 "40K" 3450190 31.291
"PBFE-SQL" 200 "40K" 3702984 31.131
"PBFE-SQL" 10 "50K" 69852 18.809
"PBFE-SQL" 20 "50K" 236254 19.716
"PBFE-SQL" 30 "50K" 451928 19.829
"PBFE-SQL" 40 "50K" 691346 22.285
"PBFE-SQL" 50 "50K" 940308 21.176
"PBFE-SQL" 60 "50K" 1195384 21.6
"PBFE-SQL" 70 "50K" 1454658 22.955
"PBFE-SQL" 80 "50K" 1719684 24.757
"PBFE-SQL" 90 "50K" 1994990 25.721
"PBFE-SQL" 100 "50K" 2278696 27.296
"PBFE-SQL" 110 "50K" 2571272 26.886
"PBFE-SQL" 120 "50K" 2872576 29.318
"PBFE-SQL" 130 "50K" 3185454 30.901
"PBFE-SQL" 140 "50K" 3511198 30.782
"PBFE-SQL" 150 "50K" 3849588 31.843
"PBFE-SQL" 160 "50K" 4203374 34.792
"PBFE-SQL" 170 "50K" 4566136 36.561
"PBFE-SQL" 180 "50K" 4939022 37.249
"PBFE-SQL" 190 "50K" 5322634 38.161
"PBFE-SQL" 200 "50K" 5715324 39.896
"PBFE-SQL" 10 "60K" 97862 21.3
"PBFE-SQL" 20 "60K" 331558 22.1
"PBFE-SQL" 30 "60K" 635504 21.469
"PBFE-SQL" 40 "60K" 973020 23.223
"PBFE-SQL" 50 "60K" 1326098 23.586
"PBFE-SQL" 60 "60K" 1689090 24.206
"PBFE-SQL" 70 "60K" 2059516 26.108
"PBFE-SQL" 80 "60K" 2439550 28.804
"PBFE-SQL" 90 "60K" 2832848 29.426
"PBFE-SQL" 100 "60K" 3239018 30.391
"PBFE-SQL" 110 "60K" 3657074 34.069
"PBFE-SQL" 120 "60K" 4088256 34.466
"PBFE-SQL" 130 "60K" 4534878 35.248
"PBFE-SQL" 140 "60K" 4998506 37.987
"PBFE-SQL" 150 "60K" 5480314 40.008
"PBFE-SQL" 160 "60K" 5983946 38.874
"PBFE-SQL" 170 "60K" 6501076 43.152
"PBFE-SQL" 180 "60K" 7033626 45.49
"PBFE-SQL" 190 "60K" 7578608 46.993
"PBFE-SQL" 200 "60K" 8136342 49.114
"PBFE-SQL" 10 "70K" 131910 19.833
"PBFE-SQL" 20 "70K" 447600 21.326
"PBFE-SQL" 30 "70K" 859128 22.465
"PBFE-SQL" 40 "70K" 1317804 23.875
"PBFE-SQL" 50 "70K" 1798156 24.694
"PBFE-SQL" 60 "70K" 2293316 27.538
"PBFE-SQL" 70 "70K" 2797636 29.579
"PBFE-SQL" 80 "70K" 3314508 31.696
"PBFE-SQL" 90 "70K" 3849360 34.295
"PBFE-SQL" 100 "70K" 4400552 35.028
"PBFE-SQL" 110 "70K" 4968516 36.535
"PBFE-SQL" 120 "70K" 5555174 37.829
"PBFE-SQL" 130 "70K" 6163516 41.385
"PBFE-SQL" 140 "70K" 6795314 44.119
"PBFE-SQL" 150 "70K" 7450994 46.214
"PBFE-SQL" 160 "70K" 8135106 47.455
"PBFE-SQL" 170 "70K" 8839152 50.752
"PBFE-SQL" 180 "70K" 9563706 52.383
"PBFE-SQL" 190 "70K" 10305904 56.21
"PBFE-SQL" 200 "70K" 11067052 58.651
"PBFE-SQL" 10 "80K" 169464 22.035
"PBFE-SQL" 20 "80K" 575040 22.975
"PBFE-SQL" 30 "80K" 1105400 23.702
"PBFE-SQL" 40 "80K" 1699148 26.063
"PBFE-SQL" 50 "80K" 2321708 27.775
"PBFE-SQL" 60 "80K" 2964096 29.727
"PBFE-SQL" 70 "80K" 3620800 34.783
"PBFE-SQL" 80 "80K" 4293172 35.716
"PBFE-SQL" 90 "80K" 4988384 38.205
"PBFE-SQL" 100 "80K" 5705784 40.69
"PBFE-SQL" 110 "80K" 6444160 43.806
"PBFE-SQL" 120 "80K" 7207104 46.274
"PBFE-SQL" 130 "80K" 7997580 49.298
"PBFE-SQL" 140 "80K" 8818552 51.918
"PBFE-SQL" 150 "80K" 9671534 56.559
"PBFE-SQL" 160 "80K" 10559318 72.095
"PBFE-SQL" 170 "80K" 11473632 61.716
"PBFE-SQL" 180 "80K" 12415368 64.327
"PBFE-SQL" 190 "80K" 13382132 70.538
"PBFE-SQL" 200 "80K" 14374940 71.557
"PBFE-SQL" 10 "90K" 215622 21.557
"PBFE-SQL" 20 "90K" 730700 22.62
"PBFE-SQL" 30 "90K" 1402216 25.342
"PBFE-SQL" 40 "90K" 2152634 27.214
"PBFE-SQL" 50 "90K" 2940824 29.634
"PBFE-SQL" 60 "90K" 3753400 33.476
"PBFE-SQL" 70 "90K" 4582498 35.714
"PBFE-SQL" 80 "90K" 5431776 38.428
"PBFE-SQL" 90 "90K" 6309780 43.449
"PBFE-SQL" 100 "90K" 7216172 45.222
"PBFE-SQL" 110 "90K" 8149214 47.71
"PBFE-SQL" 120 "90K" 9113660 51.899
"PBFE-SQL" 130 "90K" 10113310 55.482
"PBFE-SQL" 140 "90K" 11151166 59.475
"PBFE-SQL" 150 "90K" 12228934 65.314
"PBFE-SQL" 160 "90K" 13352786 67.277
"PBFE-SQL" 170 "90K" 14510342 72.922
"PBFE-SQL" 180 "90K" 15700274 77.556
"PBFE-SQL" 190 "90K" 16921822 77.859
"PBFE-SQL" 200 "90K" 18176050 83.984
"PBFE-SQL" 10 "100K" 265636 22.212
"PBFE-SQL" 20 "100K" 901054 24.468
"PBFE-SQL" 30 "100K" 1729642 27.738
"PBFE-SQL" 40 "100K" 2659236 30.378
"PBFE-SQL" 50 "100K" 3635922 33.015
"PBFE-SQL" 60 "100K" 4643146 36.897
"PBFE-SQL" 70 "100K" 5671762 39.953
"PBFE-SQL" 80 "100K" 6722140 44.858
"PBFE-SQL" 90 "100K" 7805232 49.985
"PBFE-SQL" 100 "100K" 8923262 51.349
"PBFE-SQL" 110 "100K" 10073688 57.081
"PBFE-SQL" 120 "100K" 11262520 62.328
"PBFE-SQL" 130 "100K" 12496948 67.33
"PBFE-SQL" 140 "100K" 13778910 71.796
"PBFE-SQL" 150 "100K" 15107888 72.776
"PBFE-SQL" 160 "100K" 16495564 79.232
"PBFE-SQL" 170 "100K" 17927122 83.357
"PBFE-SQL" 180 "100K" 19397578 90.89
"PBFE-SQL" 190 "100K" 20906782 95.983
"PBFE-SQL" 200 "100K" 22455664 102.703
"PBFE-DF" 10 "10K" 3268 9.909
"PBFE-RDD" 10 "10K" 3268 9.078
"PBFE-DF" 20 "10K" 10840 9.29
"PBFE-RDD" 20 "10K" 10840 9.434
"PBFE-DF" 30 "10K" 20932 9.984
"PBFE-RDD" 30 "10K" 20932 8.531
"PBFE-DF" 40 "10K" 31782 9.701
"PBFE-RDD" 40 "10K" 31782 7.677
"PBFE-DF" 50 "10K" 43322 8.598
"PBFE-RDD" 50 "10K" 43322 7.974
"PBFE-DF" 60 "10K" 55062 8.747
