PBFE3,2.0,10K,142,6.898,0.002,0.003,0,0,Thu Mar 23 10:05:56 PDT 2017
PBFE3,4.0,10K,568,7.137,0.004,0.004,0,0,Thu Mar 23 10:06:39 PDT 2017
PBFE3,6.0,10K,1288,7.031,0.006,0.004,0,0,Thu Mar 23 10:07:27 PDT 2017
PBFE3,8.0,10K,2152,6.89,0.011,0.006,1,1,Thu Mar 23 10:08:02 PDT 2017
PBFE3,10.0,10K,3268,7.166,0.022,0.009,8,7,Thu Mar 23 10:08:38 PDT 2017
PBFE3,2.0,20K,496,7.715,0.004,0.003,0,0,Thu Mar 23 10:09:21 PDT 2017
PBFE3,4.0,20K,1880,7.502,0.006,0.005,1,1,Thu Mar 23 10:09:58 PDT 2017
PBFE3,6.0,20K,4226,7.56,0.02,0.009,3,3,Thu Mar 23 10:10:34 PDT 2017
PBFE3,8.0,20K,7300,8.463,0.073,0.017,22,22,Thu Mar 23 10:11:12 PDT 2017
PBFE3,10.0,20K,11006,7.858,0.158,0.03,101,86,Thu Mar 23 10:11:50 PDT 2017
PBFE3,2.0,30K,1210,9.47,0.005,0.003,0,0,Thu Mar 23 10:12:29 PDT 2017
PBFE3,4.0,30K,4500,8.302,0.017,0.009,3,3,Thu Mar 23 10:13:06 PDT 2017
PBFE3,6.0,30K,9900,7.965,0.075,0.02,24,23,Thu Mar 23 10:13:45 PDT 2017
PBFE3,8.0,30K,16926,8.691,0.159,0.059,134,110,Thu Mar 23 10:14:24 PDT 2017
PBFE3,10.0,30K,25438,8.113,0.345,0.058,495,296,Thu Mar 23 10:15:03 PDT 2017
PBFE3,2.0,40K,2182,8.503,0.005,0.004,0,0,Thu Mar 23 10:15:42 PDT 2017
PBFE3,4.0,40K,8160,9.103,0.045,0.016,8,8,Thu Mar 23 10:16:20 PDT 2017
PBFE3,6.0,40K,17752,8.741,0.195,0.043,116,98,Thu Mar 23 10:16:59 PDT 2017
PBFE3,8.0,40K,30128,8.016,0.435,0.075,486,300,Thu Mar 23 10:17:37 PDT 2017
PBFE3,10.0,40K,45526,8.816,0.916,0.179,1574,670,Thu Mar 23 10:18:18 PDT 2017
PBFE3,2.0,50K,3298,9.53,0.007,0.005,1,1,Thu Mar 23 10:18:58 PDT 2017
PBFE3,4.0,50K,12428,8.841,0.069,0.02,18,18,Thu Mar 23 10:19:37 PDT 2017
PBFE3,6.0,50K,26958,8.941,0.329,0.056,227,168,Thu Mar 23 10:20:18 PDT 2017
PBFE3,8.0,50K,46184,9.46,0.886,0.112,976,562,Thu Mar 23 10:21:00 PDT 2017
PBFE3,10.0,50K,69852,9.154,2.515,0.313,3354,1213,Thu Mar 23 10:21:47 PDT 2017
