Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,51.74,11226,22452,111,17
B20K,20.0,7,10,57.43,23819,47638,1524,108
B20K,30.0,7,10,58.94,36174,72348,3889,240
B20K,10.0,7,10,52.45,11226,22452,111,17
B20K,20.0,7,10,56.23,23819,47638,1524,108
B20K,30.0,7,10,60.74,36174,72348,3889,240
B20K,10.0,7,10,52.35,11226,22452,111,17
B20K,20.0,7,10,56.93,23819,47638,1524,108
B20K,30.0,7,10,59.38,36174,72348,3889,240
B40K,10.0,14,10,49.07,22452,44904,222,34
B40K,20.0,14,10,53.94,47638,95276,3048,216
B40K,30.0,14,10,55.51,72348,144696,7778,480
B40K,10.0,14,10,47.12,22452,44904,222,34
B40K,20.0,14,10,52.31,47638,95276,3048,216
B40K,30.0,14,10,55.09,72348,144696,7778,480
B40K,10.0,14,10,48.64,22452,44904,222,34
B40K,20.0,14,10,52.97,47638,95276,3048,216
B40K,30.0,14,10,57.24,72348,144696,7778,480
B60K,10.0,21,10,41.42,33678,67356,333,51
B60K,20.0,21,10,45.94,71457,142914,4572,324
B60K,30.0,21,10,48.04,108522,217044,11667,720
B60K,10.0,21,10,40.78,33678,67356,333,51
B60K,20.0,21,10,44.61,71457,142914,4572,324
B60K,30.0,21,10,48.99,108522,217044,11667,720
B60K,10.0,21,10,41.49,33678,67356,333,51
B60K,20.0,21,10,44.40,71457,142914,4572,324
B60K,30.0,21,10,46.82,108522,217044,11667,720
B80K,10.0,35,10,67.03,44904,89808,444,68
B80K,20.0,35,10,48.31,95276,190552,6096,432
B80K,30.0,35,10,48.60,144696,289392,15556,960
B80K,10.0,35,10,42.13,44904,89808,444,68
B80K,20.0,35,10,45.89,95276,190552,6096,432
B80K,30.0,35,10,50.00,144696,289392,15556,960
B80K,10.0,35,10,42.35,44904,89808,444,68
B80K,20.0,35,10,47.11,95276,190552,6096,432
B80K,30.0,35,10,56.30,144696,289392,15556,960
