Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B60K,10.0,7,10,65.73,15905,31810,50,5
B60K,20.0,7,10,72.79,36979,73958,537,47
B60K,30.0,7,10,76.45,61034,122068,1599,129
B60K,10.0,7,10,67.26,15905,31810,50,5
B60K,20.0,7,10,70.34,36979,73958,537,47
B60K,30.0,7,10,75.76,61034,122068,1599,129
B60K,10.0,7,10,65.88,15905,31810,50,5
B60K,20.0,7,10,70.86,36979,73958,537,47
B60K,30.0,7,10,73.75,61034,122068,1599,129
B120K,10.0,14,10,54.64,31810,63620,100,10
B120K,20.0,14,10,60.00,73958,147916,1074,94
B120K,30.0,14,10,63.65,122068,244136,3198,258
B120K,10.0,14,10,55.32,31810,63620,100,10
B120K,20.0,14,10,57.92,73958,147916,1074,94
B120K,30.0,14,10,63.23,122068,244136,3198,258
B120K,10.0,14,10,54.82,31810,63620,100,10
B120K,20.0,14,10,58.83,73958,147916,1074,94
B120K,30.0,14,10,62.50,122068,244136,3198,258
B180K,10.0,21,10,47.99,47715,95430,150,15
B180K,20.0,21,10,52.61,110937,221874,1611,141
B180K,30.0,21,10,56.63,183102,366204,4797,387
B180K,10.0,21,10,48.19,47715,95430,150,15
B180K,20.0,21,10,52.17,110937,221874,1611,141
B180K,30.0,21,10,54.87,183102,366204,4797,387
B180K,10.0,21,10,48.47,47715,95430,150,15
B180K,20.0,21,10,53.31,110937,221874,1611,141
B180K,30.0,21,10,56.13,183102,366204,4797,387
B240K,10.0,35,10,74.16,63620,127240,200,20
B240K,20.0,35,10,56.42,147916,295832,2148,188
B240K,30.0,35,10,56.28,244136,488272,6396,516
B240K,10.0,35,10,50.72,63620,127240,200,20
B240K,20.0,35,10,52.83,147916,295832,2148,188
B240K,30.0,35,10,55.78,244136,488272,6396,516
B240K,10.0,35,10,48.09,63620,127240,200,20
B240K,20.0,35,10,51.97,147916,295832,2148,188
B240K,30.0,35,10,58.41,244136,488272,6396,516
