Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,48.41,11226,22452,111,36
B20K,20.0,7,10,51.39,23819,47638,1524,43
B20K,30.0,7,10,52.13,36174,72348,3889,77
B20K,40.0,7,10,57.81,49403,98806,8256,169
B20K,50.0,7,10,58.00,62752,125504,13078,279
B20K,10.0,7,10,48.47,11226,22452,111,36
B20K,20.0,7,10,51.57,23819,47638,1524,43
B20K,30.0,7,10,54.78,36174,72348,3889,77
B20K,40.0,7,10,58.17,49403,98806,8256,169
B20K,50.0,7,10,59.63,62752,125504,13078,279
B20K,10.0,7,10,50.68,11226,22452,111,36
B20K,20.0,7,10,52.47,23819,47638,1524,43
B20K,30.0,7,10,54.36,36174,72348,3889,77
B20K,40.0,7,10,57.39,49403,98806,8256,169
B20K,50.0,7,10,59.81,62752,125504,13078,279
B20K,10.0,7,10,48.62,11226,22452,111,36
B20K,20.0,7,10,51.92,23819,47638,1524,43
B20K,30.0,7,10,54.03,36174,72348,3889,77
B20K,40.0,7,10,56.43,49403,98806,8256,169
B20K,50.0,7,10,58.67,62752,125504,13078,279
B20K,10.0,7,10,46.92,11226,22452,111,36
B20K,20.0,7,10,52.88,23819,47638,1524,43
B20K,30.0,7,10,55.63,36174,72348,3889,77
B20K,40.0,7,10,56.69,49403,98806,8256,169
B20K,50.0,7,10,59.26,62752,125504,13078,279
B40K,10.0,14,10,43.12,22452,44904,222,71
B40K,20.0,14,10,45.16,47638,95276,3048,134
B40K,30.0,14,10,48.32,72348,144696,7778,147
B40K,40.0,14,10,54.12,98806,197612,16512,330
B40K,50.0,14,10,54.17,125504,251008,26156,363
B40K,10.0,14,10,41.66,22452,44904,222,71
B40K,20.0,14,10,44.39,47638,95276,3048,134
B40K,30.0,14,10,48.41,72348,144696,7778,147
B40K,40.0,14,10,52.16,98806,197612,16512,330
B40K,50.0,14,10,52.45,125504,251008,26156,363
B40K,10.0,14,10,41.39,22452,44904,222,71
B40K,20.0,14,10,43.12,47638,95276,3048,134
B40K,30.0,14,10,47.32,72348,144696,7778,147
B40K,40.0,14,10,51.06,98806,197612,16512,330
B40K,50.0,14,10,52.55,125504,251008,26156,363
B40K,10.0,14,10,41.94,22452,44904,222,71
B40K,20.0,14,10,45.73,47638,95276,3048,134
B40K,30.0,14,10,48.43,72348,144696,7778,147
B40K,40.0,14,10,53.24,98806,197612,16512,330
B40K,50.0,14,10,52.47,125504,251008,26156,363
B40K,10.0,14,10,40.96,22452,44904,222,71
B40K,20.0,14,10,45.12,47638,95276,3048,134
B40K,30.0,14,10,47.57,72348,144696,7778,147
B40K,40.0,14,10,50.87,98806,197612,16512,330
B40K,50.0,14,10,53.93,125504,251008,26156,363
B60K,10.0,21,10,40.15,33678,67356,333,132
B60K,20.0,21,10,42.51,71457,142914,4572,177
B60K,30.0,21,10,44.75,108522,217044,11667,236
B60K,40.0,21,10,48.33,148209,296418,24768,543
B60K,50.0,21,10,50.16,188256,376512,39234,639
B60K,10.0,21,10,39.87,33678,67356,333,132
B60K,20.0,21,10,43.32,71457,142914,4572,177
B60K,30.0,21,10,46.75,108522,217044,11667,236
B60K,40.0,21,10,49.54,148209,296418,24768,543
B60K,50.0,21,10,52.32,188256,376512,39234,639
B60K,10.0,21,10,40.07,33678,67356,333,132
B60K,20.0,21,10,44.29,71457,142914,4572,177
B60K,30.0,21,10,46.22,108522,217044,11667,236
B60K,40.0,21,10,47.05,148209,296418,24768,543
B60K,50.0,21,10,50.04,188256,376512,39234,639
B60K,10.0,21,10,40.70,33678,67356,333,132
B60K,20.0,21,10,42.71,71457,142914,4572,177
B60K,30.0,21,10,44.91,108522,217044,11667,236
B60K,40.0,21,10,50.98,148209,296418,24768,543
B60K,50.0,21,10,52.84,188256,376512,39234,639
B60K,10.0,21,10,40.16,33678,67356,333,132
B60K,20.0,21,10,44.02,71457,142914,4572,177
B60K,30.0,21,10,44.97,108522,217044,11667,236
B60K,40.0,21,10,50.61,148209,296418,24768,543
B60K,50.0,21,10,51.62,188256,376512,39234,639
B80K,10.0,28,10,41.72,44904,89808,444,185
B80K,20.0,28,10,46.18,95276,190552,6096,204
B80K,30.0,28,10,48.56,144696,289392,15556,376
B80K,40.0,28,10,53.32,197612,395224,33024,870
B80K,50.0,28,10,57.76,251008,502016,52312,1130
B80K,10.0,28,10,41.15,44904,89808,444,185
B80K,20.0,28,10,46.61,95276,190552,6096,204
B80K,30.0,28,10,48.56,144696,289392,15556,376
B80K,40.0,28,10,51.46,197612,395224,33024,870
B80K,50.0,28,10,58.28,251008,502016,52312,1130
B80K,10.0,28,10,42.40,44904,89808,444,185
B80K,20.0,28,10,45.61,95276,190552,6096,204
B80K,30.0,28,10,46.05,144696,289392,15556,376
B80K,40.0,28,10,56.47,197612,395224,33024,870
B80K,50.0,28,10,60.44,251008,502016,52312,1130
B80K,10.0,28,10,42.40,44904,89808,444,185
B80K,20.0,28,10,44.11,95276,190552,6096,204
B80K,30.0,28,10,47.36,144696,289392,15556,376
B80K,40.0,28,10,52.74,197612,395224,33024,870
B80K,50.0,28,10,53.44,251008,502016,52312,1130
B80K,10.0,28,10,42.65,44904,89808,444,185
B80K,20.0,28,10,47.41,95276,190552,6096,204
B80K,30.0,28,10,47.72,144696,289392,15556,376
B80K,40.0,28,10,54.78,197612,395224,33024,870
B80K,50.0,28,10,51.95,251008,502016,52312,1130
