Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,48.62,11241,22482,108,18
B20K,20.0,7,10,52.55,23832,47664,1491,110
B20K,30.0,7,10,55.16,36187,72374,3840,242
B20K,10.0,7,10,48.51,11241,22482,108,18
B20K,20.0,7,10,52.41,23832,47664,1491,110
B20K,30.0,7,10,54.97,36187,72374,3840,242
B20K,10.0,7,10,47.96,11241,22482,108,18
B20K,20.0,7,10,52.44,23832,47664,1491,110
B20K,30.0,7,10,55.42,36187,72374,3840,242
B40K,10.0,14,10,49.16,22482,44964,216,36
B40K,20.0,14,10,52.60,47664,95328,2982,220
B40K,30.0,14,10,54.02,72374,144748,7680,484
B40K,10.0,14,10,48.15,22482,44964,216,36
B40K,20.0,14,10,54.08,47664,95328,2982,220
B40K,30.0,14,10,55.09,72374,144748,7680,484
B40K,10.0,14,10,49.04,22482,44964,216,36
B40K,20.0,14,10,51.79,47664,95328,2982,220
B40K,30.0,14,10,56.59,72374,144748,7680,484
B60K,10.0,21,10,42.44,33723,67446,324,54
B60K,20.0,21,10,44.88,71496,142992,4473,330
B60K,30.0,21,10,48.28,108561,217122,11520,726
B60K,10.0,21,10,41.41,33723,67446,324,54
B60K,20.0,21,10,44.41,71496,142992,4473,330
B60K,30.0,21,10,46.85,108561,217122,11520,726
B60K,10.0,21,10,40.68,33723,67446,324,54
B60K,20.0,21,10,44.92,71496,142992,4473,330
B60K,30.0,21,10,46.44,108561,217122,11520,726
B80K,10.0,35,10,43.46,44964,89928,432,72
B80K,20.0,35,10,47.24,95328,190656,5964,440
B80K,30.0,35,10,48.74,144748,289496,15360,968
B80K,10.0,35,10,41.84,44964,89928,432,72
B80K,20.0,35,10,46.42,95328,190656,5964,440
B80K,30.0,35,10,49.52,144748,289496,15360,968
B80K,10.0,35,10,46.06,44964,89928,432,72
B80K,20.0,35,10,46.38,95328,190656,5964,440
B80K,30.0,35,10,49.66,144748,289496,15360,968
