Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,39.62,11226,22452,111,12
B20K,20.0,7,10,43.06,23819,47638,1524,41
B20K,30.0,7,10,45.96,36174,72348,3889,70
B20K,40.0,7,10,48.43,49403,98806,8256,141
B20K,50.0,7,10,51.08,62752,125504,13078,215
B20K,10.0,7,10,38.86,11226,22452,111,12
B20K,20.0,7,10,41.59,23819,47638,1524,41
B20K,30.0,7,10,45.65,36174,72348,3889,70
B20K,40.0,7,10,47.92,49403,98806,8256,141
B20K,50.0,7,10,49.90,62752,125504,13078,215
B20K,10.0,7,10,37.88,11226,22452,111,12
B20K,20.0,7,10,42.60,23819,47638,1524,41
B20K,30.0,7,10,45.90,36174,72348,3889,70
B20K,40.0,7,10,48.02,49403,98806,8256,141
B20K,50.0,7,10,50.43,62752,125504,13078,215
B20K,10.0,7,10,38.77,11226,22452,111,12
B20K,20.0,7,10,42.83,23819,47638,1524,41
B20K,30.0,7,10,45.66,36174,72348,3889,70
B20K,40.0,7,10,49.46,49403,98806,8256,141
B20K,50.0,7,10,50.88,62752,125504,13078,215
B20K,10.0,7,10,38.81,11226,22452,111,12
B20K,20.0,7,10,43.11,23819,47638,1524,41
B20K,30.0,7,10,44.63,36174,72348,3889,70
B20K,40.0,7,10,47.98,49403,98806,8256,141
B20K,50.0,7,10,50.74,62752,125504,13078,215
B40K,10.0,14,10,32.96,22452,44904,222,23
B40K,20.0,14,10,36.28,47638,95276,3048,75
B40K,30.0,14,10,39.35,72348,144696,7778,131
B40K,40.0,14,10,43.02,98806,197612,16512,194
B40K,50.0,14,10,45.46,125504,251008,26156,307
B40K,10.0,14,10,34.35,22452,44904,222,23
B40K,20.0,14,10,38.39,47638,95276,3048,75
B40K,30.0,14,10,39.08,72348,144696,7778,131
B40K,40.0,14,10,43.19,98806,197612,16512,194
B40K,50.0,14,10,44.85,125504,251008,26156,307
B40K,10.0,14,10,34.96,22452,44904,222,23
B40K,20.0,14,10,38.54,47638,95276,3048,75
B40K,30.0,14,10,41.07,72348,144696,7778,131
B40K,40.0,14,10,44.58,98806,197612,16512,194
B40K,50.0,14,10,44.81,125504,251008,26156,307
B40K,10.0,14,10,35.54,22452,44904,222,23
B40K,20.0,14,10,37.63,47638,95276,3048,75
B40K,30.0,14,10,38.61,72348,144696,7778,131
B40K,40.0,14,10,43.58,98806,197612,16512,194
B40K,50.0,14,10,45.02,125504,251008,26156,307
B40K,10.0,14,10,34.33,22452,44904,222,23
B40K,20.0,14,10,37.47,47638,95276,3048,75
B40K,30.0,14,10,39.89,72348,144696,7778,131
B40K,40.0,14,10,43.00,98806,197612,16512,194
B40K,50.0,14,10,44.88,125504,251008,26156,307
B60K,10.0,21,10,39.62,33678,67356,333,41
B60K,20.0,21,10,41.98,71457,142914,4572,109
B60K,30.0,21,10,45.62,108522,217044,11667,202
B60K,40.0,21,10,51.26,148209,296418,24768,457
B60K,50.0,21,10,50.48,188256,376512,39234,569
B60K,10.0,21,10,40.03,33678,67356,333,41
B60K,20.0,21,10,41.91,71457,142914,4572,109
B60K,30.0,21,10,44.64,108522,217044,11667,202
B60K,40.0,21,10,47.81,148209,296418,24768,457
B60K,50.0,21,10,51.44,188256,376512,39234,569
B60K,10.0,21,10,39.93,33678,67356,333,41
B60K,20.0,21,10,43.10,71457,142914,4572,109
B60K,30.0,21,10,46.82,108522,217044,11667,202
B60K,40.0,21,10,47.97,148209,296418,24768,457
B60K,50.0,21,10,51.72,188256,376512,39234,569
B60K,10.0,21,10,40.27,33678,67356,333,41
B60K,20.0,21,10,44.15,71457,142914,4572,109
B60K,30.0,21,10,47.26,108522,217044,11667,202
B60K,40.0,21,10,48.03,148209,296418,24768,457
B60K,50.0,21,10,51.98,188256,376512,39234,569
B60K,10.0,21,10,39.12,33678,67356,333,41
B60K,20.0,21,10,42.36,71457,142914,4572,109
B60K,30.0,21,10,44.29,108522,217044,11667,202
B60K,40.0,21,10,49.16,148209,296418,24768,457
B60K,50.0,21,10,51.34,188256,376512,39234,569
B80K,10.0,28,10,41.32,44904,89808,444,45
B80K,20.0,28,10,45.38,95276,190552,6096,149
B80K,30.0,28,10,47.87,144696,289392,15556,302
B80K,40.0,28,10,50.52,197612,395224,33024,649
B80K,50.0,28,10,58.00,251008,502016,52312,906
B80K,10.0,28,10,40.86,44904,89808,444,45
B80K,20.0,28,10,43.59,95276,190552,6096,149
B80K,30.0,28,10,48.70,144696,289392,15556,302
B80K,40.0,28,10,49.82,197612,395224,33024,649
B80K,50.0,28,10,57.65,251008,502016,52312,906
B80K,10.0,28,10,41.85,44904,89808,444,45
B80K,20.0,28,10,46.62,95276,190552,6096,149
B80K,30.0,28,10,47.50,144696,289392,15556,302
B80K,40.0,28,10,55.58,197612,395224,33024,649
B80K,50.0,28,10,55.40,251008,502016,52312,906
B80K,10.0,28,10,41.46,44904,89808,444,45
B80K,20.0,28,10,46.19,95276,190552,6096,149
B80K,30.0,28,10,48.42,144696,289392,15556,302
B80K,40.0,28,10,54.83,197612,395224,33024,649
B80K,50.0,28,10,57.20,251008,502016,52312,906
B80K,10.0,28,10,40.84,44904,89808,444,45
B80K,20.0,28,10,43.90,95276,190552,6096,149
B80K,30.0,28,10,48.38,144696,289392,15556,302
B80K,40.0,28,10,50.28,197612,395224,33024,649
B80K,50.0,28,10,54.71,251008,502016,52312,906
