Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B60K,10.0,7,10,67.52,15905,31810,50,5
B60K,20.0,7,10,70.56,36979,73958,537,47
B60K,30.0,7,10,75.83,61034,122068,1599,129
B60K,10.0,7,10,65.90,15905,31810,50,5
B60K,20.0,7,10,70.28,36979,73958,537,47
B60K,30.0,7,10,75.16,61034,122068,1599,129
B60K,10.0,7,10,68.77,15905,31810,50,5
B60K,20.0,7,10,70.59,36979,73958,537,47
B60K,30.0,7,10,75.69,61034,122068,1599,129
B120K,10.0,14,10,44.84,31810,63620,100,10
B120K,20.0,14,10,49.84,73958,147916,1074,94
B120K,30.0,14,10,53.04,122068,244136,3198,258
B120K,10.0,14,10,45.99,31810,63620,100,10
B120K,20.0,14,10,48.86,73958,147916,1074,94
B120K,30.0,14,10,52.85,122068,244136,3198,258
B120K,10.0,14,10,45.35,31810,63620,100,10
B120K,20.0,14,10,49.95,73958,147916,1074,94
B120K,30.0,14,10,53.28,122068,244136,3198,258
B180K,10.0,21,10,49.30,47715,95430,150,15
B180K,20.0,21,10,52.79,110937,221874,1611,141
B180K,30.0,21,10,54.50,183102,366204,4797,387
B180K,10.0,21,10,48.06,47715,95430,150,15
B180K,20.0,21,10,51.91,110937,221874,1611,141
B180K,30.0,21,10,54.18,183102,366204,4797,387
B180K,10.0,21,10,46.84,47715,95430,150,15
B180K,20.0,21,10,51.54,110937,221874,1611,141
B180K,30.0,21,10,54.83,183102,366204,4797,387
B240K,10.0,35,10,48.19,63620,127240,200,20
B240K,20.0,35,10,56.15,147916,295832,2148,188
B240K,30.0,35,10,59.71,244136,488272,6396,516
B240K,10.0,35,10,48.34,63620,127240,200,20
B240K,20.0,35,10,54.11,147916,295832,2148,188
B240K,30.0,35,10,56.15,244136,488272,6396,516
B240K,10.0,35,10,48.14,63620,127240,200,20
B240K,20.0,35,10,53.25,147916,295832,2148,188
B240K,30.0,35,10,57.46,244136,488272,6396,516
